,n_units,batch_size,ln_rate,train_loss,val_loss,train_acc,val_acc,test_acc
0,16,100,0.001,"[0.776144039568727, 0.6565272031277956, 0.6260792398567521, 0.614441521618197, 0.606375983475778, 0.6006322293648795, 0.5962824969467656, 0.5918477440616762, 0.5877821642473621, 0.5847740763648179, 0.5821839499990001, 0.5794538553823585, 0.5771174187694645, 0.575224615510955, 0.5737181528237179, 0.5716916231376504, 0.5710282232500299, 0.5693220561448704, 0.5685664507647475, 0.5681319577455808]","[0.6991834678091444, 0.6592390827230505, 0.651059738150588, 0.6451578253024334, 0.6383977204829723, 0.6347692340343922, 0.6297925748266615, 0.6249894059456147, 0.620976637612592, 0.6186615368267437, 0.6156066935341638, 0.6125192169670586, 0.6119059818285005, 0.6103028499328338, 0.6079982621175749, 0.6068254811269743, 0.606046145563727, 0.605451408270243, 0.6039564271230955, 0.6031796755017461]","[0.7569194, 0.7769755, 0.7769755, 0.77677494, 0.77797836, 0.7775772, 0.7777778, 0.77817893, 0.77817893, 0.77837944, 0.77898115, 0.7791817, 0.7811873, 0.7801845, 0.7801845, 0.78058565, 0.78158844, 0.7801845, 0.7809868, 0.78219014]","[0.7765766, 0.7765766, 0.7765766, 0.7747748, 0.7747748, 0.78018016, 0.78018016, 0.77837837, 0.77837837, 0.77837837, 0.7765766, 0.772973, 0.77117115, 0.7747748, 0.772973, 0.76936936, 0.76936936, 0.76936936, 0.76936936, 0.76936936]",0.790043294429779
1,16,100,0.002,"[0.7459302452544921, 0.6185769473889531, 0.6016370263197218, 0.5923978842935359, 0.5857335507534998, 0.5806335851795168, 0.5755678438968177, 0.5731922293158837, 0.5709958929782214, 0.5689751155587788, 0.5676691496032717, 0.5655850227272181, 0.5639517319474984, 0.5634000816117603, 0.5633877308503529, 0.5621445120887205, 0.5613760234742484, 0.5602803607088372, 0.5592201034849635, 0.5586192923475832]","[0.651237391136788, 0.638919954901343, 0.6282008091608683, 0.6215823861929748, 0.6138258130700739, 0.6064940964853441, 0.6001576056351533, 0.5966725542738631, 0.592657786768836, 0.5912137101362417, 0.5902546837523177, 0.592078850612984, 0.5841895674800014, 0.586703364913528, 0.5845115920444867, 0.5884024414930258, 0.5881574481457204, 0.5835488519153079, 0.5848629270587955, 0.5838454338881347]","[0.7472924, 0.7769755, 0.77737665, 0.77797836, 0.77998394, 0.7787806, 0.7807862, 0.7823907, 0.7833935, 0.7823907, 0.78379464, 0.78379464, 0.7841957, 0.78519857, 0.78379464, 0.7843963, 0.78379464, 0.78539914, 0.7839952, 0.78539914]","[0.7765766, 0.7765766, 0.7765766, 0.7765766, 0.77837837, 0.7765766, 0.78018016, 0.7765766, 0.7765766, 0.7747748, 0.7747748, 0.7747748, 0.7765766, 0.7765766, 0.77837837, 0.7765766, 0.7747748, 0.7765766, 0.77837837, 0.7747748]",0.7907648086547852
2,16,100,0.003,"[0.742062226912127, 0.6088724720683674, 0.597432440894701, 0.5885856318464252, 0.5829674806453309, 0.578653346115071, 0.5745963158733721, 0.5735129697993249, 0.5712321675593625, 0.567611906550469, 0.5659202654295736, 0.5658044431088107, 0.5643966872434849, 0.5633184109353847, 0.5623085314951123, 0.5622048868121176, 0.560054363015661, 0.5593639805859176, 0.5579739950576366, 0.559111619564696]","[0.6448902659588032, 0.6318898695009249, 0.6197743388983581, 0.6125583981608486, 0.6086867172438819, 0.6046572016166137, 0.6017350404112188, 0.5956018518757176, 0.5980950320089186, 0.5958335592940047, 0.5982466748168876, 0.5922881423890054, 0.5908511984455693, 0.5932909969810967, 0.5935807587864163, 0.5930272399842202, 0.5939089253142074, 0.5914990230723545, 0.5906711440902572, 0.5931302335885194]","[0.71780986, 0.77837944, 0.77837944, 0.7791817, 0.77998394, 0.7825913, 0.78158844, 0.78299236, 0.78138787, 0.7835941, 0.7835941, 0.78459686, 0.78379464, 0.78299236, 0.7858002, 0.7839952, 0.78479743, 0.78620136, 0.78299236, 0.7841957]","[0.78018016, 0.77837837, 0.7747748, 0.77837837, 0.7747748, 0.77117115, 0.772973, 0.7765766, 0.772973, 0.77117115, 0.77117115, 0.7747748, 0.77117115, 0.772973, 0.77117115, 0.76936936, 0.772973, 0.772973, 0.772973, 0.76936936]",0.789321780204773
3,16,100,0.005,"[0.7309098256026412, 0.6048201840181118, 0.5900464675247645, 0.5835732527636066, 0.5818562036147809, 0.5753406991788388, 0.5710024067880254, 0.5711313335234699, 0.5687496408467497, 0.5669444217243875, 0.5661550139835738, 0.5648621930398953, 0.5648608342787371, 0.5661664102338568, 0.5634098905327327, 0.5617666492441118, 0.5642688564636408, 0.5602882486053418, 0.5596218451026735, 0.5586407394759204]","[0.6454728600141164, 0.630707284351727, 0.6182532740068866, 0.613385107603159, 0.6111297360411635, 0.6053234370979103, 0.6041547844001839, 0.5961088350227287, 0.6023102155676833, 0.5990035872201662, 0.6021926590988228, 0.5925637075492928, 0.5967923682015221, 0.5883687707754943, 0.5881119069752393, 0.5935148312164856, 0.5916803790642334, 0.5888337133167026, 0.5890897082852887, 0.5940941250002062]","[0.7276374, 0.7791817, 0.77797836, 0.7801845, 0.77998394, 0.77958286, 0.78219014, 0.77958286, 0.781789, 0.78158844, 0.78319293, 0.7807862, 0.7801845, 0.7811873, 0.781789, 0.78459686, 0.7809868, 0.78479743, 0.7835941, 0.7839952]","[0.772973, 0.7765766, 0.78018016, 0.7747748, 0.7747748, 0.77837837, 0.7747748, 0.7765766, 0.7657658, 0.7765766, 0.7675676, 0.7765766, 0.772973, 0.77837837, 0.76936936, 0.7765766, 0.772973, 0.772973, 0.7675676, 0.76936936]",0.7857142686843872
4,16,100,0.1,"[0.6314351915404637, 0.5983000067262538, 0.5979835732940493, 0.5893341171134202, 0.6002228779339475, 0.5892162050676786, 0.5943587620574884, 0.5949465385938906, 0.5939593739983933, 0.5852328934346248, 0.5828656013644081, 0.5835990045283914, 0.5871595669070067, 0.5794758798126423, 0.5766225681216948, 0.5834583975299984, 0.5811104262109459, 0.5872808562384711, 0.5858315819246053, 0.5806699889852873]","[0.6054446428745717, 0.6143864570437251, 0.6092567153879114, 0.6046231775670439, 0.6160009068411749, 0.6155410333796665, 0.6018988678047249, 0.6077335503724244, 0.6175226225509299, 0.593618744665438, 0.594981536671922, 0.6269608193689639, 0.5999393124838133, 0.5960164354728149, 0.6142292446918316, 0.6223655461191057, 0.6139762761356594, 0.6040972299403973, 0.6131228987161104, 0.5980465702108435]","[0.7745688, 0.7771761, 0.7769755, 0.7769755, 0.77677494, 0.7769755, 0.7769755, 0.7769755, 0.7769755, 0.7769755, 0.7769755, 0.7769755, 0.7769755, 0.7769755, 0.7769755, 0.7769755, 0.7769755, 0.7769755, 0.7769755, 0.7737665]","[0.7747748, 0.7765766, 0.7765766, 0.7765766, 0.7765766, 0.7765766, 0.7765766, 0.7765766, 0.7765766, 0.7765766, 0.7765766, 0.7765766, 0.7765766, 0.7765766, 0.7765766, 0.7765766, 0.7765766, 0.7765766, 0.7765766, 0.7765766]",0.790043294429779
5,16,200,0.001,"[0.9891648625830212, 0.7755145502291289, 0.6796908395815412, 0.6464880719703219, 0.6341991684210143, 0.6268215745125628, 0.621809565633643, 0.6175672363861947, 0.6140315129342827, 0.6113168918077505, 0.6083170955457508, 0.6057553692032331, 0.6033370829326677, 0.6009589147003501, 0.5987587098467078, 0.5968969623056511, 0.594802988852261, 0.5929624273554178, 0.5912387104001908, 0.5894422006090626]","[0.849843122400679, 0.7111037717209207, 0.662184974094769, 0.6495830996616466, 0.6445964080793364, 0.6406270770339278, 0.6381883648064759, 0.6368815361916482, 0.635359043473596, 0.6334441202180879, 0.6314419663704194, 0.6300452104559889, 0.6282557243699426, 0.6260897334631499, 0.62385918428232, 0.6219897726634601, 0.6201141825667372, 0.6179891932118047, 0.6170449122652277, 0.6149210790256122]","[0.51263535, 0.76113117, 0.7739671, 0.77577215, 0.7771761, 0.7771761, 0.7771761, 0.7771761, 0.7777778, 0.77817893, 0.77817893, 0.7793823, 0.7803851, 0.7811873, 0.78138787, 0.78158844, 0.78158844, 0.781789, 0.7823907, 0.7825913]","[0.74594593, 0.7747748, 0.7747748, 0.7765766, 0.77837837, 0.77837837, 0.77837837, 0.781982, 0.78018016, 0.78018016, 0.78018016, 0.78018016, 0.78018016, 0.78018016, 0.78018016, 0.78018016, 0.78018016, 0.78018016, 0.78018016, 0.78018016]",0.7965368032455444
6,16,200,0.002,"[0.8339011391099562, 0.6730917137739317, 0.6374373051520575, 0.6221495968148836, 0.6126107423361936, 0.6057033381737527, 0.6006078961571679, 0.5964237041278293, 0.5923054457141174, 0.5892257349609707, 0.586270994203807, 0.5841160885454707, 0.581556074216669, 0.5794485412923581, 0.5772958399538911, 0.5764429804507002, 0.5750699327071412, 0.5735686965319606, 0.5725839387638905, 0.5725226515610439]","[0.7203341233837712, 0.6631061993203722, 0.6483009393150742, 0.6436662126231838, 0.6391420385859035, 0.636984666188558, 0.6330295489715027, 0.6283735085178066, 0.6262800843866022, 0.6252436573440964, 0.6213173646110672, 0.6183313872363116, 0.6158922760336248, 0.6143033386350752, 0.6132127503017047, 0.6118994371311085, 0.6096145188486254, 0.6099393840308662, 0.6106881402634285, 0.6078119653839249]","[0.71119136, 0.7769755, 0.7769755, 0.7769755, 0.7769755, 0.7769755, 0.7769755, 0.7771761, 0.77858, 0.77978337, 0.7807862, 0.7803851, 0.78138787, 0.7819896, 0.78379464, 0.781789, 0.7833935, 0.7825913, 0.7841957, 0.7833935]","[0.7765766, 0.7765766, 0.7765766, 0.7765766, 0.7765766, 0.7765766, 0.7765766, 0.7765766, 0.7765766, 0.7765766, 0.7747748, 0.77837837, 0.78018016, 0.7747748, 0.7765766, 0.7765766, 0.7765766, 0.7765766, 0.7765766, 0.7765766]",0.7950937747955322
7,16,200,0.003,"[0.8510409879292344, 0.6503091288817918, 0.619207636065814, 0.605469478620758, 0.5972784214406142, 0.5915197207417968, 0.5868956376355765, 0.5839469007493213, 0.5803830905750579, 0.5779298266827032, 0.5762542558873556, 0.5746179112362853, 0.5733864672490979, 0.571905676232157, 0.5717916255297548, 0.5707700860055632, 0.5700029749565224, 0.5684060427112556, 0.5686773307773898, 0.5672803072148999]","[0.7058793096928984, 0.669276896897737, 0.6469531467369011, 0.6362151530411866, 0.6267371848896817, 0.6220963940964089, 0.6206410618515702, 0.6147268065461168, 0.6113888578371959, 0.6131420183826137, 0.6119505263663627, 0.6096049874752492, 0.6091869231816884, 0.61143897299294, 0.610718125158602, 0.6078154272861309, 0.6098962512102213, 0.6078694688307272, 0.606327700722325, 0.6080988801277436]","[0.73204976, 0.77657443, 0.7777778, 0.77817893, 0.77817893, 0.7775772, 0.77958286, 0.7801845, 0.7801845, 0.7801845, 0.781789, 0.78158844, 0.78158844, 0.7809868, 0.7801845, 0.7811873, 0.7811873, 0.781789, 0.77998394, 0.781789]","[0.7765766, 0.7765766, 0.77837837, 0.78018016, 0.78018016, 0.77837837, 0.77117115, 0.772973, 0.77117115, 0.77117115, 0.76936936, 0.772973, 0.772973, 0.77117115, 0.772973, 0.772973, 0.772973, 0.7747748, 0.77117115, 0.7747748]",0.7922077775001526
8,16,200,0.005,"[0.8441290618471482, 0.6324837988416593, 0.6047563665227818, 0.5932509202436897, 0.5846203038886614, 0.579318033754706, 0.5771005333211113, 0.5750150473252674, 0.5723843900400905, 0.5708102759614891, 0.5699719613066075, 0.5684939024202612, 0.5687725928429376, 0.5667821489516578, 0.5641383712807191, 0.5640114284977108, 0.5636057556512315, 0.5619238875402871, 0.5612684372816993, 0.5605155998953748]","[0.6865115804715199, 0.6433259109119037, 0.6341544497120488, 0.6220349003602793, 0.6135398154860144, 0.6127496039545214, 0.6073409898861034, 0.6027822677079622, 0.6043545238606565, 0.603286340966955, 0.6050609033386987, 0.603681804897549, 0.5997379615500167, 0.6002536238850774, 0.5974226669148281, 0.5987462154379836, 0.6027862375920957, 0.5992012646821168, 0.6018575225864444, 0.6006715770240303]","[0.6492178, 0.7769755, 0.77657443, 0.77797836, 0.7793823, 0.7811873, 0.77898115, 0.7807862, 0.7809868, 0.77958286, 0.77998394, 0.7823907, 0.78219014, 0.7819896, 0.78219014, 0.78379464, 0.7823907, 0.7843963, 0.7825913, 0.7835941]","[0.7765766, 0.77837837, 0.7765766, 0.77117115, 0.77117115, 0.772973, 0.772973, 0.7747748, 0.7657658, 0.7675676, 0.7675676, 0.7675676, 0.77117115, 0.7657658, 0.76936936, 0.7675676, 0.76396394, 0.7675676, 0.7675676, 0.7657658]",0.7835497856140137
9,16,200,0.1,"[0.6495035151568848, 0.5954014463353913, 0.6000375659457182, 0.5904866905753697, 0.5875771038512174, 0.5875917849797013, 0.5828823936640667, 0.5925530490509917, 0.5806667338018192, 0.5759661991673687, 0.5828709959553467, 0.5784502831798359, 0.5794044059536517, 0.5779727740886457, 0.5726264087827723, 0.5788449968767606, 0.5739606126120805, 0.5712823551006218, 0.5718894481085124, 0.5726753331263573]","[0.6223641843409151, 0.6548140457084587, 0.6075553061725857, 0.6086651924494151, 0.5981732413575456, 0.5820470092532871, 0.6108279518178992, 0.5997991529670922, 0.5848861846837912, 0.6000738197618777, 0.621761920752826, 0.6169411899807217, 0.6180953845247492, 0.5898243967477266, 0.5939534789807087, 0.5964432643340515, 0.599563117499824, 0.600034406593254, 0.5961069808349954, 0.6213098490560377]","[0.7585239, 0.7769755, 0.77797836, 0.7769755, 0.7769755, 0.7769755, 0.7769755, 0.7769755, 0.7769755, 0.7769755, 0.7769755, 0.7769755, 0.7769755, 0.7769755, 0.7769755, 0.7769755, 0.7769755, 0.7769755, 0.7769755, 0.7769755]","[0.7765766, 0.7747748, 0.7765766, 0.7765766, 0.7765766, 0.7765766, 0.7765766, 0.7765766, 0.7765766, 0.7765766, 0.7765766, 0.7765766, 0.7765766, 0.7765766, 0.7765766, 0.7765766, 0.7765766, 0.7765766, 0.7765766, 0.7765766]",0.790043294429779
