,n_units,batch_size,ln_rate,train_loss,val_loss,train_acc,val_acc,test_acc
0,16,100,0.001,"[0.9956290752496578, 0.7996186150683966, 0.7298684110614702, 0.7034030137318376, 0.6919736119336122, 0.6863102785708003, 0.68206247413584, 0.678880526151133, 0.6766214175870798, 0.6742903352309746, 0.6723018500683444, 0.6707791804645705, 0.6691360032754493, 0.66766989742758, 0.6666023869902744, 0.6651451104241014, 0.6645673120112674, 0.6636746177891388, 0.6628903053966909, 0.6617434218472091]","[0.8291158085470801, 0.7107716562511684, 0.6719612162392419, 0.6599856550629074, 0.6573524561014261, 0.6546737181173788, 0.6529688985498102, 0.6538390023214323, 0.6522156370652689, 0.6497197757970106, 0.6488860340805741, 0.647577990819742, 0.6480868174149109, 0.6457367684390094, 0.6466520058142172, 0.6462211377985843, 0.6434386743081583, 0.6445792709384952, 0.6446943315299781, 0.6472320766062349]","[0.45166466, 0.69755316, 0.6987565, 0.70016044, 0.7009627, 0.70316887, 0.7045728, 0.70577615, 0.7061773, 0.7053751, 0.7043722, 0.70417166, 0.7043722, 0.7059767, 0.7055756, 0.70738065, 0.706779, 0.7059767, 0.7061773, 0.7083835]","[0.73153156, 0.73333335, 0.73153156, 0.7279279, 0.7297297, 0.7279279, 0.7279279, 0.7279279, 0.7225225, 0.7225225, 0.72432435, 0.72432435, 0.72612613, 0.7279279, 0.7297297, 0.73153156, 0.73333335, 0.73153156, 0.73333335, 0.73333335]",0.7128427028656006
1,16,100,0.002,"[0.8386937617251445, 0.6992195214892409, 0.6829364388954003, 0.6762166516971168, 0.6717914252504975, 0.6696460734540279, 0.6685949502773568, 0.6671348691130086, 0.6653624215233149, 0.6631531628125937, 0.662466156114501, 0.6616379642075341, 0.6620324609320756, 0.660533498986103, 0.6593235834410905, 0.6597008961202435, 0.6589960389667087, 0.6578598965663198, 0.6572068938279411, 0.6567858421223928]","[0.6961763243417483, 0.6668278118511578, 0.6559037099013457, 0.6514206609210452, 0.6499230233398644, 0.6449621470124872, 0.6478998306635264, 0.6487891260568086, 0.6423495293737532, 0.6443847820565507, 0.6441152079685314, 0.6447639905654632, 0.6466345701131735, 0.6457141562625095, 0.6440135922517862, 0.645297318965465, 0.6465483834077647, 0.6465122275524311, 0.6484757785324577, 0.6460059865100963]","[0.6540313, 0.70116323, 0.6993582, 0.7045728, 0.7043722, 0.70818293, 0.70818293, 0.70657843, 0.70818293, 0.70798236, 0.7091857, 0.70898515, 0.70818293, 0.71058965, 0.71119136, 0.7101885, 0.70818293, 0.7093863, 0.70818293, 0.7101885]","[0.7279279, 0.7279279, 0.7297297, 0.7279279, 0.7297297, 0.7279279, 0.7279279, 0.71711713, 0.7387387, 0.73153156, 0.73153156, 0.7297297, 0.7297297, 0.7279279, 0.7297297, 0.7279279, 0.72612613, 0.7297297, 0.71711713, 0.7225225]",0.7186146974563599
2,16,100,0.003,"[0.9140879330604468, 0.7180380783452119, 0.6955937069675983, 0.6861617038922285, 0.6775335404847073, 0.6744075032825982, 0.6707263142767079, 0.6670282052264269, 0.6668131694562264, 0.6648230626790628, 0.6637733766366046, 0.6614776066255245, 0.6607306884849019, 0.6610592920953282, 0.6609032332442919, 0.659724991746184, 0.6597670431697508, 0.6578566681128929, 0.6574246948902454, 0.6571349756716726]","[0.711040075834807, 0.662146959218893, 0.6596676250835797, 0.6531598433717951, 0.6492747664451599, 0.6447929557379302, 0.6496531372671729, 0.6446125330151738, 0.641317276267318, 0.6442006133698128, 0.6392905674539171, 0.6520218897510219, 0.6432981619963775, 0.6364210403717316, 0.6386499920406857, 0.6396197563893086, 0.637214720249176, 0.6344352112160073, 0.6440328139442582, 0.6424835979401529]","[0.61231446, 0.6997593, 0.6987565, 0.6993582, 0.7021661, 0.7005616, 0.70397115, 0.70176494, 0.70397115, 0.70256716, 0.7071801, 0.706779, 0.7071801, 0.70738065, 0.7071801, 0.7069795, 0.70637786, 0.70798236, 0.7097874, 0.7051745]","[0.73153156, 0.72612613, 0.7225225, 0.72432435, 0.7387387, 0.7369369, 0.7207207, 0.73333335, 0.73153156, 0.73333335, 0.7297297, 0.72432435, 0.7297297, 0.7279279, 0.72612613, 0.73153156, 0.7297297, 0.73153156, 0.72612613, 0.74234235]",0.709956705570221
3,16,100,0.005,"[0.7820117187653016, 0.6818578729799747, 0.6728760529798148, 0.6687899107106756, 0.6669859649233201, 0.663964197691119, 0.6625714459861085, 0.6640086781055727, 0.6600665813988106, 0.6593918529228183, 0.6575683604222056, 0.6597234538363683, 0.6567792671299632, 0.6561423752664611, 0.656960303387487, 0.6546780916279786, 0.654193784594775, 0.6554106519588543, 0.653862722896449, 0.6518373733966933]","[0.6538812947702838, 0.6424433793033566, 0.641937194106815, 0.6478218135533033, 0.6424999983461054, 0.6416194932954805, 0.6371324481190862, 0.6395193322284801, 0.6439972262124758, 0.639954725364307, 0.6364724754213212, 0.641339913144842, 0.642503374868685, 0.6449479664768185, 0.6400547027587891, 0.6502910965197796, 0.644075203586269, 0.6441564694181219, 0.6416777678438135, 0.6463076896495648]","[0.6624549, 0.7021661, 0.70336944, 0.7059767, 0.7059767, 0.7071801, 0.70637786, 0.7055756, 0.7077818, 0.7091857, 0.7077818, 0.7087846, 0.70798236, 0.7101885, 0.7091857, 0.7069795, 0.7101885, 0.7091857, 0.7093863, 0.71119136]","[0.73153156, 0.7369369, 0.7369369, 0.73513514, 0.73333335, 0.73513514, 0.7369369, 0.7387387, 0.72432435, 0.7279279, 0.74054056, 0.73513514, 0.7387387, 0.73513514, 0.73333335, 0.7189189, 0.7297297, 0.73153156, 0.73333335, 0.7225225]",0.7034631967544556
4,16,100,0.1,"[0.7138044198162815, 0.682189823225039, 0.691006568890712, 0.6867663467977595, 0.6802780284156676, 0.6853346887765235, 0.6833432683062945, 0.6838124379354263, 0.6990268166362642, 0.6875224941665276, 0.6897385740108009, 0.6839533760229173, 0.6812425711477228, 0.6844522213295097, 0.6861750314238556, 0.6884111197320898, 0.6951886480752598, 0.6959771834795034, 0.6900899773661602, 0.6903871591914575]","[0.6560051854666289, 0.6597827941447765, 0.6558072277017541, 0.6782709252726924, 0.6497298806637257, 0.6604355568284387, 0.6580761493863286, 0.6798126407571741, 0.660140175540168, 0.6589021731067348, 0.6651684249843564, 0.653858241734204, 0.6649412099305574, 0.6663607917390428, 0.6673790431237435, 0.661070926232381, 0.7096487724029266, 0.6964370312991442, 0.6556239783226907, 0.6492348490534602]","[0.6879262, 0.7019655, 0.69755316, 0.6999599, 0.70256716, 0.70176494, 0.7013638, 0.7005616, 0.7009627, 0.70397115, 0.6989571, 0.70116323, 0.7027677, 0.7013638, 0.6987565, 0.6989571, 0.6987565, 0.6981548, 0.6983554, 0.70116323]","[0.73333335, 0.7207207, 0.74234235, 0.7135135, 0.7189189, 0.7279279, 0.7099099, 0.73153156, 0.72432435, 0.72432435, 0.73153156, 0.73513514, 0.72432435, 0.7279279, 0.7279279, 0.73153156, 0.73153156, 0.7297297, 0.73153156, 0.73513514]",0.7171717286109924
5,16,200,0.001,"[1.2082636934946782, 1.0142106776298694, 0.88545863809138, 0.7942283880361534, 0.7454463997329042, 0.7204428307511842, 0.7048962900450179, 0.6959873531364887, 0.690407918128822, 0.6866962282331507, 0.683743067429432, 0.6813883696317768, 0.6794356731253363, 0.6777980666393933, 0.6763085554844397, 0.6748969096808466, 0.6736701042165347, 0.6727074842781988, 0.6713805842772574, 0.6706678554852038]","[1.1087510682441093, 0.9442032881685205, 0.8201224723377744, 0.7417832537814304, 0.7042341806867101, 0.6844710788211307, 0.6740767558415731, 0.666371255844563, 0.6625038959958531, 0.659743904530465, 0.6580227855089549, 0.6566619840828148, 0.6549406529546858, 0.6538510172216742, 0.652967816537565, 0.6524856477170378, 0.6508823230459884, 0.6505657923114192, 0.6492627096605731, 0.6484246683550311]","[0.16787003, 0.59526676, 0.69434416, 0.69955873, 0.6997593, 0.70116323, 0.7013638, 0.70236665, 0.70236665, 0.70256716, 0.7029683, 0.70256716, 0.7029683, 0.70316887, 0.70417166, 0.70336944, 0.70477337, 0.70497394, 0.7051745, 0.70477337]","[0.44324324, 0.6954955, 0.73513514, 0.73333335, 0.73153156, 0.73333335, 0.73333335, 0.73513514, 0.7387387, 0.7369369, 0.7369369, 0.7369369, 0.73513514, 0.73333335, 0.73513514, 0.73333335, 0.73513514, 0.73513514, 0.73333335, 0.73513514]",0.709956705570221
6,16,200,0.002,"[1.3541103841978241, 0.9651519977037466, 0.8740643736735626, 0.7685155962013691, 0.7127243144608768, 0.6965683695306942, 0.6887024106436163, 0.6838200289802383, 0.6797229566824661, 0.6762077662058256, 0.6743369699002651, 0.6724358292597631, 0.6714490055798815, 0.6692115804348612, 0.6691172427553467, 0.6671888570779785, 0.6664294547887389, 0.6657442253993019, 0.6650126969962535, 0.6646221865624536]","[1.029664023502453, 0.8825569270967363, 0.7831016279555656, 0.6947747667630514, 0.6699804008544028, 0.660982134105923, 0.6581828524400523, 0.6567395426131584, 0.6510612363213891, 0.6523869247049898, 0.6504543257189227, 0.647849135570698, 0.6457020328925537, 0.6518376007810369, 0.6482330888241261, 0.6462814432006698, 0.6468524207939973, 0.6453862678897273, 0.6460512033453932, 0.644173677977141]","[0.25812274, 0.6085038, 0.70236665, 0.70236665, 0.6999599, 0.70176494, 0.7005616, 0.70236665, 0.70256716, 0.70397115, 0.7055756, 0.70417166, 0.7061773, 0.7069795, 0.7043722, 0.70818293, 0.7083835, 0.70738065, 0.7077818, 0.70898515]","[0.44324324, 0.73333335, 0.74054056, 0.74054056, 0.73513514, 0.73333335, 0.73333335, 0.73333335, 0.73333335, 0.73513514, 0.73513514, 0.7369369, 0.74234235, 0.73513514, 0.73513514, 0.73513514, 0.73333335, 0.73513514, 0.73513514, 0.7387387]",0.7113997340202332
7,16,200,0.003,"[0.8409835852823054, 0.712400393317705, 0.6913165457746947, 0.684550260330748, 0.6794224016120335, 0.6765670366570312, 0.67398663067789, 0.6717765786970087, 0.6702004869300775, 0.66822827106205, 0.6666240265844722, 0.6652733122446525, 0.664074743769516, 0.6635963892152498, 0.6618728585095947, 0.660386314365312, 0.6597763492886053, 0.659116584088876, 0.6579911550555514, 0.6578375159666043]","[0.7129375204309687, 0.6759941073151322, 0.6656819963240409, 0.6589976253810229, 0.6564315487672617, 0.6526120530592429, 0.6527654507138707, 0.6496283036094528, 0.648197709440111, 0.6473335715027543, 0.6492901723664086, 0.6479723287058307, 0.6480317754788442, 0.6445909910373859, 0.6419736350978817, 0.6442661151155695, 0.650045734268051, 0.6440316143336596, 0.642820501649702, 0.6455483995042406]","[0.6797032, 0.6997593, 0.7027677, 0.70357, 0.70316887, 0.70397115, 0.7029683, 0.7037706, 0.70477337, 0.7037706, 0.70336944, 0.70397115, 0.7061773, 0.7037706, 0.7069795, 0.70417166, 0.70738065, 0.70798236, 0.7071801, 0.70738065]","[0.73153156, 0.7279279, 0.7225225, 0.7207207, 0.7225225, 0.72432435, 0.7225225, 0.7225225, 0.7279279, 0.7279279, 0.72432435, 0.72432435, 0.72612613, 0.72612613, 0.73153156, 0.7225225, 0.72432435, 0.72432435, 0.72432435, 0.72432435]",0.7113997340202332
8,16,200,0.005,"[0.9174778814589313, 0.7076412597861674, 0.6803475565523973, 0.6739220215621073, 0.67040598643529, 0.668713649472605, 0.6661696108383105, 0.6648800955256735, 0.6627218638181782, 0.6610496628250982, 0.6593356623115952, 0.6585222949859276, 0.6586194925646777, 0.6572829536582588, 0.6574413475624968, 0.6558601859339834, 0.6541597084304773, 0.6531454544683274, 0.6529168512655749, 0.6519832586697005]","[0.709635730799254, 0.6563555243852977, 0.6564015547434489, 0.6498767937625851, 0.6476846181594573, 0.6464160723729176, 0.6459695707570325, 0.645899866078351, 0.6448530968245085, 0.6447692803434424, 0.6469406313724346, 0.6472514298585084, 0.6457178920238942, 0.6415992561761323, 0.643304700787003, 0.6452538972502356, 0.6419740963626552, 0.6404410788604805, 0.6418560598347638, 0.6463070372203449]","[0.64219815, 0.69855595, 0.7015644, 0.7051745, 0.7055756, 0.70357, 0.70497394, 0.70497394, 0.7061773, 0.70637786, 0.70497394, 0.70798236, 0.708584, 0.708584, 0.70798236, 0.7075812, 0.71159244, 0.7093863, 0.70958686, 0.7101885]","[0.73153156, 0.73153156, 0.73153156, 0.73333335, 0.73513514, 0.7369369, 0.7387387, 0.7369369, 0.73333335, 0.7297297, 0.73153156, 0.73513514, 0.7297297, 0.7369369, 0.7387387, 0.7279279, 0.7279279, 0.73153156, 0.72612613, 0.7297297]",0.7142857313156128
9,16,200,0.1,"[0.73508723868551, 0.6899768518148729, 0.6849739224232683, 0.6777612755827477, 0.6762952349341829, 0.6786999906156611, 0.6896961971645225, 0.6742784017498982, 0.6725226526895394, 0.6735108155492697, 0.679160592716667, 0.6851142326895128, 0.6790226731154988, 0.6800292472594529, 0.6757189100208504, 0.6722559124362837, 0.6795749751812858, 0.6849132402804881, 0.6745634672395971, 0.6828988968393576]","[0.6694531623307649, 0.6621589300868748, 0.6578121244370401, 0.656969592914925, 0.6462288906982353, 0.6628783071363294, 0.6501235322909312, 0.6532672052984839, 0.6574865746068524, 0.6480437200348657, 0.657867507891612, 0.6701965460906157, 0.6644819599014145, 0.6568260912422661, 0.6498640104457065, 0.6515932485863969, 0.6454547928260254, 0.6474235245773384, 0.6504186257585749, 0.6503727978414243]","[0.68973124, 0.69855595, 0.6981548, 0.6981548, 0.6981548, 0.69855595, 0.6981548, 0.6981548, 0.69534695, 0.69855595, 0.6981548, 0.70016044, 0.6981548, 0.6981548, 0.6981548, 0.69655037, 0.7005616, 0.6981548, 0.69695145, 0.69695145]","[0.72432435, 0.73153156, 0.73153156, 0.73153156, 0.73153156, 0.73153156, 0.73153156, 0.73153156, 0.7189189, 0.73153156, 0.73153156, 0.73153156, 0.73153156, 0.73153156, 0.73153156, 0.71531534, 0.73153156, 0.73153156, 0.7225225, 0.73153156]",0.7135642170906067
10,16,300,0.001,"[0.9882235516996877, 0.8418161632351927, 0.7656535834755421, 0.734027072554174, 0.7219239189306321, 0.7145090840496885, 0.7086335972901859, 0.7037112952426309, 0.6993302987657586, 0.695643558542364, 0.6923388054081105, 0.6897149228016822, 0.687308766925091, 0.6856269185149999, 0.6834387713964809, 0.6818728766142963, 0.6805339432652103, 0.6791426756752097, 0.6782410397282863, 0.6768685620901244]","[0.8878448524990598, 0.7730811898772781, 0.7202275008768648, 0.6999596325126854, 0.6917340465494104, 0.6872704045192616, 0.6840178273819588, 0.681623684393393, 0.6781431291554425, 0.6756296173946278, 0.6725359269090601, 0.6703313605205433, 0.6675805691126231, 0.6662063614742176, 0.6635588681375658, 0.6620147969271686, 0.6607593942332912, 0.6593039615734203, 0.6577459074355461, 0.6562460660934448]","[0.50922585, 0.6827116, 0.69915766, 0.69915766, 0.69915766, 0.6993582, 0.6997593, 0.70016044, 0.6999599, 0.70016044, 0.7013638, 0.70256716, 0.7027677, 0.7027677, 0.7037706, 0.70417166, 0.70497394, 0.7051745, 0.70417166, 0.7043722]","[0.64504504, 0.73333335, 0.73153156, 0.73153156, 0.73153156, 0.73153156, 0.73153156, 0.73153156, 0.73153156, 0.7297297, 0.73333335, 0.73153156, 0.73153156, 0.73153156, 0.73333335, 0.73333335, 0.73513514, 0.73333335, 0.73333335, 0.73333335]",0.7157287001609802
11,16,300,0.002,"[1.0253229659100016, 0.8358230027768012, 0.7352863177926101, 0.7062791590943089, 0.6937482335507225, 0.6867174705586853, 0.6823544476436794, 0.6783754564507917, 0.6755150390159065, 0.6731674097361834, 0.6717822142886771, 0.6692904738886405, 0.6684626430524099, 0.6677088975619466, 0.6657113475202797, 0.6647262032425074, 0.6635974672153395, 0.6634206756070776, 0.6628508058552565, 0.6615686843398102]","[0.8982709984521609, 0.7310069106720589, 0.6821413652316944, 0.6702066676036732, 0.6657197121027354, 0.6622399349470396, 0.6587859714353407, 0.6552418389835873, 0.6521896671604466, 0.6504506807069521, 0.6460529501373703, 0.6462454650853131, 0.6441635151167173, 0.6437994048402116, 0.6421839594841003, 0.6411574144621153, 0.6405038302009171, 0.6392169997498796, 0.6382295054358404, 0.6386577116476523]","[0.57681507, 0.6973526, 0.6981548, 0.6989571, 0.69955873, 0.7015644, 0.70176494, 0.7045728, 0.70397115, 0.70477337, 0.7037706, 0.70357, 0.7037706, 0.7037706, 0.7051745, 0.7053751, 0.7061773, 0.7053751, 0.7069795, 0.70477337]","[0.7279279, 0.73153156, 0.73153156, 0.7279279, 0.73153156, 0.7279279, 0.7279279, 0.7279279, 0.73153156, 0.7297297, 0.7369369, 0.73333335, 0.73333335, 0.73513514, 0.73333335, 0.73513514, 0.73153156, 0.73513514, 0.7387387, 0.73333335]",0.7135642170906067
12,16,300,0.003,"[0.9357753418986691, 0.7731964741659796, 0.7330235395620877, 0.7123530913059175, 0.6999137959612263, 0.6911379321244076, 0.684671509997509, 0.6809955120230122, 0.6762007028761037, 0.6738067384087508, 0.6723990589559581, 0.669163842206971, 0.6673497847414762, 0.6664248546394917, 0.6652839930479277, 0.6630223873289914, 0.6622060239673665, 0.659875806846917, 0.6592917298151698, 0.6580698367490665]","[0.772477971540915, 0.7049802445076607, 0.6869835450842574, 0.671523037794474, 0.6658278268736761, 0.6626153153342169, 0.6615737177230216, 0.6579484134107023, 0.6583874547803724, 0.6556016206741333, 0.6553665399551392, 0.654052328419041, 0.654376521303847, 0.6522359912459915, 0.6500369745331842, 0.6548362325977635, 0.6509186818793014, 0.6482899076229817, 0.6506045476810353, 0.6513375414384378]","[0.6117128, 0.6981548, 0.6981548, 0.6981548, 0.6981548, 0.6983554, 0.6999599, 0.70076215, 0.7015644, 0.70176494, 0.70176494, 0.70357, 0.7029683, 0.70357, 0.7045728, 0.7059767, 0.7051745, 0.70637786, 0.70738065, 0.7069795]","[0.73153156, 0.73153156, 0.73153156, 0.73153156, 0.73153156, 0.7297297, 0.73153156, 0.7297297, 0.7297297, 0.7297297, 0.73333335, 0.73153156, 0.73333335, 0.73153156, 0.73153156, 0.73333335, 0.73513514, 0.72612613, 0.7207207, 0.72432435]",0.7092351913452148
13,16,300,0.005,"[0.9413922420477608, 0.7389089178235666, 0.6890107357401567, 0.6790736888576787, 0.6738583471370518, 0.6702246901217207, 0.6676852177339914, 0.6659026234875804, 0.6645970216153188, 0.662373831412709, 0.6619496014144016, 0.6617216559667163, 0.6607885390842865, 0.6592766107491494, 0.6589428983297015, 0.658283221305636, 0.6587733398275685, 0.6573011969114182, 0.6578053609702275, 0.6565188388244914]","[0.7557241159516412, 0.6781664007418865, 0.6628607044348845, 0.6555579562444944, 0.6522489737819981, 0.6501981905988745, 0.6491277298411807, 0.6498246595666215, 0.6476996927647978, 0.6492661865981849, 0.6492021406019056, 0.6482893647374334, 0.6459245633434605, 0.6474616946400823, 0.6455482244491577, 0.6461799257510418, 0.64682968403842, 0.6484852078798655, 0.6466677849357193, 0.6492650943833429]","[0.6081027, 0.69915766, 0.69955873, 0.7043722, 0.7027677, 0.70417166, 0.7037706, 0.7051745, 0.70417166, 0.70657843, 0.706779, 0.7075812, 0.708584, 0.70738065, 0.7077818, 0.7071801, 0.7083835, 0.7083835, 0.7091857, 0.7077818]","[0.73153156, 0.7225225, 0.72432435, 0.7279279, 0.7279279, 0.72612613, 0.72612613, 0.72432435, 0.7279279, 0.7279279, 0.72612613, 0.72612613, 0.72432435, 0.72432435, 0.7297297, 0.72612613, 0.7225225, 0.72432435, 0.7207207, 0.7207207]",0.7150071859359741
14,16,300,0.1,"[0.7406881369121382, 0.6856098281921176, 0.6804799625446076, 0.6753858522244165, 0.6829151131759625, 0.6858239441428661, 0.6732869866235736, 0.6754347406569801, 0.6811660353887813, 0.6742298032115657, 0.671201473825962, 0.6698686114000213, 0.6690647332390006, 0.6694632057822282, 0.667702378994291, 0.6725364721925967, 0.6708975924911912, 0.6661033309036788, 0.6640372926864669, 0.6649423367853773]","[0.6624095198270437, 0.6571479230313688, 0.6514510609008171, 0.6467574383761432, 0.6521474074673008, 0.648059252146128, 0.641412345138756, 0.6614483240488414, 0.6388577883307999, 0.6547864562756306, 0.6448615290023185, 0.6428916824830545, 0.6472702380773183, 0.651872997348373, 0.6467391639142424, 0.6458290767025303, 0.6552035583032144, 0.6557771982373418, 0.6558028765626855, 0.6548493327321233]","[0.66385883, 0.6981548, 0.6981548, 0.6981548, 0.6981548, 0.6981548, 0.6981548, 0.6981548, 0.6981548, 0.69955873, 0.6981548, 0.70116323, 0.7029683, 0.7021661, 0.700361, 0.69354194, 0.6981548, 0.7005616, 0.7019655, 0.70397115]","[0.73153156, 0.73153156, 0.73153156, 0.73153156, 0.73153156, 0.73153156, 0.73153156, 0.73153156, 0.73153156, 0.73153156, 0.73153156, 0.7099099, 0.7135135, 0.7207207, 0.7189189, 0.73153156, 0.7099099, 0.6990991, 0.7081081, 0.7117117]",0.7063491940498352
