,n_units,batch_size,ln_rate,train_loss,val_loss,train_acc,val_acc,test_acc
0,16,100,0.001,"[1.0124270150903425, 0.8089073494022934, 0.752612760064117, 0.7251723615749266, 0.7092850795004485, 0.6991367519642998, 0.6925350618897984, 0.6873462234832559, 0.6843089507470588, 0.6817206420718643, 0.6802052241274501, 0.6790152216263674, 0.6774599095735501, 0.6765248607403296, 0.6753454995451804, 0.6745758751430427, 0.6735954843655773, 0.673411762934347, 0.6719392279616523, 0.6716074925610879]","[0.8887201375789471, 0.806031388205451, 0.7686704246847479, 0.7446167420696568, 0.7316386205656035, 0.7235968107575769, 0.7140193458075996, 0.71216238618971, 0.7106441748034846, 0.7058565514581697, 0.7074052272616206, 0.7069908804721661, 0.7038636664012531, 0.7042233116991885, 0.7072950601577759, 0.7032064790124292, 0.7044258525779655, 0.701362145376635, 0.7028764829979287, 0.7033989305968757]","[0.5707982, 0.6951464, 0.6951464, 0.6963498, 0.6979543, 0.69594866, 0.69614923, 0.69955873, 0.70076215, 0.7009627, 0.70236665, 0.7013638, 0.7009627, 0.70176494, 0.70236665, 0.7029683, 0.7019655, 0.70176494, 0.70076215, 0.7019655]","[0.6756757, 0.6756757, 0.6756757, 0.6828829, 0.6846847, 0.6864865, 0.6918919, 0.6882883, 0.6846847, 0.6900901, 0.6900901, 0.6882883, 0.6918919, 0.6954955, 0.6900901, 0.6936937, 0.6900901, 0.6972973, 0.6936937, 0.6900901]",0.6962481737136841
1,16,100,0.002,"[0.8045768967795649, 0.7141371191241298, 0.6923651508762805, 0.6827078412873077, 0.6791367221921025, 0.6762656720823617, 0.6748601208477196, 0.672589213636282, 0.6709386374498054, 0.6701843745489461, 0.6696648772968808, 0.6683963257722285, 0.6665594786991329, 0.6651206974327157, 0.6660112387628092, 0.6647056065024595, 0.6636257798280575, 0.6630809611935621, 0.6631400389839643, 0.6618744640813217]","[0.7762675596787049, 0.7422992694485295, 0.7255407598641541, 0.7193844350608619, 0.7137871234266607, 0.7132923388266349, 0.7129561697040592, 0.7117787175350361, 0.7089448345674051, 0.7073502701682013, 0.7076823147567542, 0.7087677411130957, 0.7077690738815445, 0.7103769387210812, 0.7049204299041817, 0.7057372981363589, 0.704058144543622, 0.70657450229198, 0.7011528954849587, 0.7082366325833775]","[0.6893301, 0.70016044, 0.69955873, 0.7013638, 0.70417166, 0.70397115, 0.7045728, 0.70417166, 0.7053751, 0.7075812, 0.7051745, 0.7071801, 0.7097874, 0.70818293, 0.70798236, 0.70958686, 0.7097874, 0.70958686, 0.7087846, 0.7061773]","[0.68108106, 0.6828829, 0.67927927, 0.6774775, 0.67927927, 0.6828829, 0.6774775, 0.6774775, 0.6864865, 0.6882883, 0.6882883, 0.6828829, 0.6846847, 0.6882883, 0.6882883, 0.6918919, 0.6936937, 0.6828829, 0.6918919, 0.6846847]",0.7027416825294495
2,16,100,0.003,"[0.8463594687066306, 0.7117489375983956, 0.6924710398546625, 0.6828310180035548, 0.6763538135805142, 0.6733447182288478, 0.6695589105192552, 0.6688066802252454, 0.6669004208774774, 0.6648980856802489, 0.6640890194286173, 0.6634105969469948, 0.6628074222093024, 0.6609990108553492, 0.6605911546092028, 0.6587060442470041, 0.6580743570907308, 0.6582576131610282, 0.6578318046079407, 0.6564336632850225]","[0.7633541151209995, 0.7189131792601164, 0.7072289204812264, 0.6982631377271704, 0.6940251132389447, 0.6911585524275496, 0.6915936878135612, 0.6904771693117984, 0.6872796341105625, 0.6857467186343562, 0.6872033256668229, 0.6852361323597195, 0.6856565856718803, 0.6846410707310513, 0.6861021738868576, 0.6883502130035881, 0.6861133779491391, 0.6888774767652288, 0.6865457162126765, 0.6884900621465735]","[0.6730846, 0.69594866, 0.69655037, 0.70016044, 0.7009627, 0.7021661, 0.7043722, 0.7059767, 0.7045728, 0.7029683, 0.70397115, 0.70818293, 0.7091857, 0.70818293, 0.70657843, 0.7071801, 0.7113919, 0.70898515, 0.7087846, 0.71058965]","[0.6756757, 0.68108106, 0.6846847, 0.6864865, 0.6882883, 0.6900901, 0.6918919, 0.6882883, 0.6882883, 0.6936937, 0.6900901, 0.6954955, 0.6972973, 0.6846847, 0.6954955, 0.6846847, 0.6864865, 0.6954955, 0.6918919, 0.6900901]",0.7027416825294495
3,16,100,0.005,"[0.746437633678323, 0.6921742104212061, 0.6812287247472626, 0.6787490770609275, 0.6750914706698011, 0.6741335324575468, 0.6705290979761414, 0.6713320808003238, 0.6688291774281908, 0.6668457568911151, 0.6655059200761981, 0.6663940632577598, 0.6643559766303474, 0.6653569541778901, 0.6649911027570542, 0.6603302497534784, 0.6646537598576643, 0.6608720428246453, 0.6628915901601051, 0.6582445355002965]","[0.7323526616569038, 0.7118527239507383, 0.7073131643974029, 0.7066834918013564, 0.6947449059099764, 0.6960808693825662, 0.6940805960345913, 0.6994558937914737, 0.6949916884705827, 0.6904183089196145, 0.6946342931137429, 0.6910766083914954, 0.6933607926239839, 0.6934542892215488, 0.6939284253764797, 0.6911751885671873, 0.69250714403015, 0.6929069241961917, 0.6905854032920288, 0.692427443491446]","[0.69374245, 0.697152, 0.69955873, 0.7015644, 0.7013638, 0.7069795, 0.70417166, 0.7027677, 0.7053751, 0.7077818, 0.7045728, 0.70637786, 0.7087846, 0.7051745, 0.70637786, 0.711793, 0.7061773, 0.7071801, 0.7139992, 0.7093863]","[0.6864865, 0.6900901, 0.6954955, 0.6882883, 0.6918919, 0.6972973, 0.6990991, 0.68108106, 0.6990991, 0.7045045, 0.6990991, 0.6954955, 0.6900901, 0.7027027, 0.7063063, 0.7117117, 0.7009009, 0.7027027, 0.7063063, 0.7045045]",0.6897546648979187
4,16,100,0.1,"[0.7335139923529888, 0.6951284144137979, 0.6870812247232696, 0.6806786708979066, 0.6842308518306061, 0.7023572616676609, 0.6965347266417166, 0.6793401231978057, 0.6839247397089215, 0.6834722337979081, 0.6887855694277718, 0.6780636906384753, 0.6723251269134326, 0.6827423553891417, 0.679690912981565, 0.673257266260561, 0.6770941978040298, 0.6810479750606462, 0.6787548824529116, 0.6806736616451388]","[0.719881140970969, 0.7371922070915634, 0.7049788838034278, 0.7202169922021058, 0.7076392452996056, 0.7123829888867902, 0.7031963365571993, 0.7104110320409139, 0.709536252795039, 0.723191207056647, 0.6992751741194511, 0.6956040735717293, 0.7172750814540966, 0.6969067674499374, 0.7070596781936852, 0.7097416117384627, 0.7236826666840562, 0.7042486318596849, 0.7102547534951219, 0.7337490722939775]","[0.6851183, 0.6951464, 0.6951464, 0.69434416, 0.69213796, 0.6951464, 0.6951464, 0.6951464, 0.6947453, 0.6951464, 0.6951464, 0.6951464, 0.69354194, 0.69133574, 0.6931408, 0.697152, 0.6941436, 0.6947453, 0.6905335, 0.69033295]","[0.6756757, 0.6756757, 0.6756757, 0.6738739, 0.6756757, 0.6756757, 0.6756757, 0.6756757, 0.6756757, 0.6756757, 0.6756757, 0.6756757, 0.6972973, 0.6864865, 0.6756757, 0.67927927, 0.6756757, 0.6756757, 0.6756757, 0.6756757]",0.6847041845321655
5,16,200,0.001,"[1.2677982974329771, 0.9982405518653448, 0.8836280272947082, 0.8150225389783181, 0.7715858772630152, 0.7471493852697986, 0.7309137838842206, 0.719284296227037, 0.7103438033571791, 0.7035239183945776, 0.6980740527670592, 0.6937375206140165, 0.6902450245162162, 0.6874925805008464, 0.6850747845759126, 0.6831236377902362, 0.6814345454672375, 0.679909537152215, 0.6785085393012025, 0.6776412669023835]","[1.0878784323597814, 0.9437744719488127, 0.8666329212016888, 0.8139289477923969, 0.7856607668034665, 0.7673482094799076, 0.7541178293056316, 0.7442430075224455, 0.736180448317313, 0.7290919616415694, 0.7236881707165692, 0.7198432936324729, 0.7170631096169755, 0.7139613939835144, 0.7114215289150272, 0.7087471039445551, 0.7077503043252069, 0.7065042192871506, 0.7051212460071117, 0.7044115565918587]","[0.19033293, 0.5361011, 0.690734, 0.693943, 0.6951464, 0.6957481, 0.69695145, 0.7005616, 0.70176494, 0.7019655, 0.70076215, 0.7019655, 0.7009627, 0.70116323, 0.7015644, 0.7027677, 0.70336944, 0.7021661, 0.70357, 0.70316887]","[0.2954955, 0.67207205, 0.6738739, 0.67207205, 0.68108106, 0.6864865, 0.6882883, 0.6918919, 0.6936937, 0.6918919, 0.6918919, 0.6936937, 0.6954955, 0.6918919, 0.6936937, 0.6918919, 0.6918919, 0.6882883, 0.6918919, 0.6882883]",0.6976912021636963
6,16,200,0.002,"[1.0321627718542552, 0.8400691254904985, 0.7559161852795677, 0.7215243325241111, 0.7053270908278058, 0.6949474497153202, 0.6886459232046095, 0.68393872690832, 0.6800791764421918, 0.6771747213838764, 0.6748154423010192, 0.6734783042400083, 0.6729453283048661, 0.6711293015908487, 0.6696161270093784, 0.6683238817418478, 0.667353544448496, 0.6668943318314596, 0.6656267709441325, 0.6651093530167168]","[0.9112081930444047, 0.8157691203796111, 0.7563757042627077, 0.7325715551505217, 0.7213813979346473, 0.7128279794443835, 0.7092815648328077, 0.7067102623415423, 0.7016898007006258, 0.700911194891543, 0.6991009250417486, 0.698466981316472, 0.6996707841082737, 0.6974532910295435, 0.6954115903055346, 0.696766593971768, 0.69576724209227, 0.6952793995539347, 0.6951483906926336, 0.6944766651402723]","[0.5872443, 0.6947453, 0.69594866, 0.6949459, 0.69695145, 0.6987565, 0.70076215, 0.7013638, 0.70176494, 0.70236665, 0.70176494, 0.70477337, 0.70357, 0.70637786, 0.7071801, 0.70637786, 0.70738065, 0.7071801, 0.7097874, 0.7087846]","[0.6774775, 0.67927927, 0.6828829, 0.6882883, 0.6918919, 0.6882883, 0.6864865, 0.6882883, 0.6900901, 0.6846847, 0.6864865, 0.6828829, 0.6828829, 0.68108106, 0.6846847, 0.6846847, 0.68108106, 0.6972973, 0.6882883, 0.6882883]",0.6976912021636963
7,16,200,0.003,"[0.8370914825750458, 0.7340579386030963, 0.7034086176682514, 0.688899077017815, 0.6811747852215267, 0.6776786733716069, 0.6754052159875165, 0.673202786802337, 0.672034898724271, 0.6708223002290706, 0.6683094015429405, 0.6670841964143278, 0.6672173773864642, 0.6647634804607442, 0.6652899547317541, 0.6647200257100114, 0.6639833782171563, 0.6626677426811781, 0.6630613944208197, 0.6615602923501126]","[0.8180410239073608, 0.7447208069466256, 0.7230046117627943, 0.7116979940517528, 0.7096352228173265, 0.7074964508280024, 0.7082465194367074, 0.7048641598976411, 0.703276741612065, 0.7030658222533561, 0.7060775874971269, 0.6998946822441376, 0.7015051653793266, 0.7003863255182902, 0.6994807387257481, 0.7007031854208525, 0.6990609233443802, 0.6996109593021977, 0.701086101768253, 0.6997362015483616]","[0.68311274, 0.69755316, 0.6983554, 0.7021661, 0.70316887, 0.6999599, 0.70477337, 0.6999599, 0.7029683, 0.7027677, 0.70477337, 0.70577615, 0.70637786, 0.7061773, 0.7061773, 0.7077818, 0.708584, 0.70958686, 0.708584, 0.70818293]","[0.6756757, 0.6828829, 0.6918919, 0.6972973, 0.6954955, 0.6918919, 0.6972973, 0.7027027, 0.6918919, 0.7027027, 0.6900901, 0.7009009, 0.6918919, 0.6990991, 0.6990991, 0.6972973, 0.6972973, 0.6990991, 0.6990991, 0.6972973]",0.6904761791229248
8,16,200,0.005,"[0.9821672665035204, 0.758158923964686, 0.7015312947855864, 0.6852592585127946, 0.6785215096592282, 0.6737128327612986, 0.6714644475342804, 0.6679509356707586, 0.6682306854207497, 0.6664396200465047, 0.6641497135975253, 0.6627592612259655, 0.6635259642832451, 0.6628987277027502, 0.6615787488936995, 0.6604593458588803, 0.6613809042937107, 0.6584040703325926, 0.6584272583325704, 0.6590280444374345]","[0.8666305525882824, 0.7490272328660295, 0.7238208270287728, 0.7074201654743504, 0.7038583379608017, 0.7034238657435855, 0.7044067436510378, 0.6971732318938315, 0.6981261598097311, 0.7017084897101462, 0.7008728218508197, 0.7027243832210163, 0.703377831089604, 0.6959819203024512, 0.6984260060765721, 0.7024005984400844, 0.6984221575496433, 0.7029364232544426, 0.6985576566275176, 0.7065838902920216]","[0.5573606, 0.69614923, 0.69915766, 0.70176494, 0.70116323, 0.70176494, 0.7053751, 0.7077818, 0.7077818, 0.7045728, 0.70958686, 0.71058965, 0.7083835, 0.70958686, 0.7087846, 0.70898515, 0.71159244, 0.7103891, 0.70898515, 0.70958686]","[0.6756757, 0.6864865, 0.6918919, 0.6900901, 0.6882883, 0.6864865, 0.6864865, 0.68108106, 0.68108106, 0.6774775, 0.6774775, 0.6864865, 0.6846847, 0.6738739, 0.68108106, 0.68108106, 0.68108106, 0.6864865, 0.6774775, 0.6756757]",0.6955267190933228
9,16,200,0.1,"[0.753288842136966, 0.6897667946224465, 0.6848052526830527, 0.6802613549427579, 0.6791891908243962, 0.6789787221614778, 0.6762161782789173, 0.6755935610225293, 0.675659510394057, 0.6711746321784126, 0.6703954527428769, 0.6724352964999156, 0.674231437904214, 0.6745277208780793, 0.6750928741643288, 0.6738725229529937, 0.6685102025141832, 0.6746594071436062, 0.6748933520032084, 0.6708491200717921]","[0.7400845493282284, 0.7245886803747298, 0.7108170196816728, 0.6992512758787688, 0.7006926536560059, 0.7039977940353187, 0.7171576339919288, 0.7080874920965315, 0.706914767488703, 0.7124264863160279, 0.7001346532288972, 0.7101223613764789, 0.7082820749497628, 0.7014669346379804, 0.7028252015242705, 0.7055277502214586, 0.7084363527126141, 0.7049239374495841, 0.7140923802917069, 0.7143258994764036]","[0.6736863, 0.6955475, 0.69755316, 0.69614923, 0.6941436, 0.69614923, 0.6947453, 0.6951464, 0.69454473, 0.6951464, 0.6951464, 0.69594866, 0.69434416, 0.69033295, 0.6901324, 0.6951464, 0.69695145, 0.69294024, 0.6947453, 0.69374245]","[0.6756757, 0.6738739, 0.6774775, 0.6756757, 0.67927927, 0.6756757, 0.6738739, 0.6756757, 0.6756757, 0.6756757, 0.6756757, 0.6756757, 0.6900901, 0.6756757, 0.6756757, 0.6756757, 0.6918919, 0.6756757, 0.6972973, 0.6756757]",0.6847041845321655
