,n_units,batch_size,ln_rate,train_loss,val_loss,train_acc,val_acc,test_acc
0,16,100,0.001,"[1.3389174525057796, 0.9434492828565767, 0.8171885609865858, 0.7700485340381213, 0.751849885762479, 0.7403605721870006, 0.7318423440836063, 0.7246265512033012, 0.7188726210517669, 0.713902910478709, 0.7095616201392341, 0.7058855641380736, 0.7027120969881746, 0.6998750883988765, 0.6966357519241207, 0.6939765157778006, 0.6916418406220263, 0.6897163622789578, 0.6877695061191708, 0.6868091511812451]","[1.0553891809137017, 0.878376073665447, 0.8103877257656407, 0.790887632348516, 0.7829347881110938, 0.778165564343736, 0.7743722544060098, 0.7720268508335492, 0.7699466975959571, 0.768307503279265, 0.7666037555213447, 0.7639591543524115, 0.7629842747439135, 0.7604717660594631, 0.7591758370399475, 0.7576807791048342, 0.7571725791639036, 0.75729268520802, 0.7565234099422489, 0.7545225367889749]","[0.20738067, 0.6610509, 0.736061, 0.74027276, 0.74047333, 0.7398716, 0.7400722, 0.7406739, 0.74047333, 0.74127555, 0.74047333, 0.7416767, 0.74087447, 0.7406739, 0.7420778, 0.7432812, 0.74127555, 0.74187726, 0.74187726, 0.7416767]","[0.44144145, 0.7117117, 0.71531534, 0.71711713, 0.71531534, 0.71531534, 0.71531534, 0.71531534, 0.71531534, 0.7117117, 0.7117117, 0.7117117, 0.7135135, 0.7135135, 0.7135135, 0.71531534, 0.7135135, 0.71531534, 0.7135135, 0.7135135]",0.7402597665786743
1,16,100,0.002,"[0.955965208710794, 0.732868618913506, 0.7157063984364044, 0.7086702271058671, 0.704327364906077, 0.698250337747795, 0.6946584093632873, 0.6900866867498466, 0.687624185189539, 0.6849577193321399, 0.6829217619509569, 0.6822996716923949, 0.679787575935581, 0.678307064412542, 0.6775553370880115, 0.6778533032415767, 0.675447246251793, 0.6736868379396269, 0.6730244046848938, 0.6722651306424713]","[0.7880503626557084, 0.7780903728158625, 0.7730553869728569, 0.7717912546149245, 0.7637715790722821, 0.760524142969836, 0.7566350521268072, 0.7521814000499141, 0.7501332185289882, 0.7509125105969541, 0.7481350603404345, 0.7469206978608897, 0.7496435067675136, 0.7445310295165122, 0.7442279264733598, 0.7492306173384726, 0.7474995921323965, 0.7449677339545241, 0.7434140680072544, 0.7461566801543709]","[0.57340556, 0.73866826, 0.7390694, 0.7406739, 0.74027276, 0.74187726, 0.74087447, 0.74348176, 0.74288005, 0.7420778, 0.7406739, 0.7436823, 0.7416767, 0.7440834, 0.74348176, 0.7426795, 0.7432812, 0.7448857, 0.7416767, 0.74288005]","[0.71531534, 0.71531534, 0.7117117, 0.7117117, 0.71531534, 0.7135135, 0.7117117, 0.7135135, 0.7135135, 0.7117117, 0.7117117, 0.7099099, 0.71711713, 0.71531534, 0.71531534, 0.71711713, 0.71531534, 0.71531534, 0.7135135, 0.7099099]",0.7395382523536682
2,16,100,0.003,"[0.7854636491086174, 0.7212317543626549, 0.7115474804261579, 0.7053893516927277, 0.696971034625903, 0.6910993701188477, 0.6885372442363306, 0.6838783009244503, 0.6809530864266856, 0.6778338962752706, 0.6758602061904773, 0.6725392227807869, 0.6732893821182282, 0.672752418720813, 0.6699063270339706, 0.6696227395864457, 0.6673994318959802, 0.6663219433829242, 0.6668775092154394, 0.6659101975093249]","[0.8073407792830253, 0.7838001766720334, 0.7774540389980282, 0.7670897857562916, 0.7590688456286181, 0.755232860376169, 0.754281518158612, 0.7616546277527336, 0.7472262425465627, 0.7500336068170564, 0.7435064058046084, 0.7494914794827366, 0.7539096066543648, 0.7476842623573166, 0.7442661513079394, 0.7458206205754667, 0.7519069061622964, 0.7505910396575928, 0.7474808730520643, 0.7466216731715847]","[0.7141998, 0.7390694, 0.7390694, 0.7390694, 0.73927, 0.74027276, 0.7400722, 0.74087447, 0.74127555, 0.73967105, 0.74087447, 0.7398716, 0.74027276, 0.74247897, 0.74127555, 0.74027276, 0.7426795, 0.7420778, 0.74288005, 0.744284]","[0.71531534, 0.71531534, 0.71531534, 0.71531534, 0.71531534, 0.71531534, 0.7117117, 0.7135135, 0.7063063, 0.7099099, 0.7063063, 0.7045045, 0.7099099, 0.7063063, 0.7027027, 0.7063063, 0.7081081, 0.7099099, 0.7099099, 0.7117117]",0.7359307408332825
3,16,100,0.005,"[0.8226142937382492, 0.7173861039005223, 0.7068411223007597, 0.6985987317739029, 0.6925418834298, 0.6908015606874832, 0.6878794864435728, 0.6834135922236085, 0.681230700451162, 0.6804133591956036, 0.6820772984063248, 0.6751775548154936, 0.6755655341678195, 0.6769218769744846, 0.6756684894165838, 0.6716329019279113, 0.6718743239068813, 0.6727234498592825, 0.6701855785723341, 0.671331056834128]","[0.7946842656479226, 0.7805716481294718, 0.77770047091149, 0.7709776415481223, 0.7775436355187012, 0.7736463278263539, 0.7644282960676932, 0.7686617127409926, 0.7558115065634787, 0.7616794103974694, 0.7588120527095623, 0.7601445795179488, 0.7601142241074158, 0.7549064417143125, 0.7527970387054993, 0.7570968291780971, 0.755285999796412, 0.7498030888067709, 0.7542281854260076, 0.756677678039482]","[0.67829925, 0.73967105, 0.73967105, 0.7400722, 0.74027276, 0.7400722, 0.73927, 0.74087447, 0.7420778, 0.744284, 0.7436823, 0.7436823, 0.7446851, 0.7420778, 0.74448454, 0.7452868, 0.74608904, 0.7422784, 0.74508625, 0.74669075]","[0.7135135, 0.7117117, 0.7081081, 0.7081081, 0.7135135, 0.7117117, 0.7063063, 0.7063063, 0.7135135, 0.7009009, 0.7135135, 0.7099099, 0.7099099, 0.7045045, 0.7045045, 0.7081081, 0.7081081, 0.7063063, 0.6972973, 0.7045045]",0.7366522550582886
4,16,100,0.1,"[0.7508640010290915, 0.7180323167780629, 0.709909799105663, 0.7081402278883697, 0.7045544986020978, 0.7025583583190649, 0.7057162850820249, 0.6974213953913334, 0.6984485632389175, 0.6973647988803694, 0.6919644168233279, 0.7069796150437426, 0.690703698707019, 0.6904453782015807, 0.6873301144732656, 0.6918037497418691, 0.6898241212843318, 0.6955241511683841, 0.6922526956799994, 0.687546300758954]","[0.8036166085853232, 0.7724404077272158, 0.748270692052068, 0.7886727688548801, 0.7662302867786305, 0.754832780575967, 0.7607960368061925, 0.7457964511604996, 0.7564873432253932, 0.7512674927711487, 0.7519512788669483, 0.7834772623337067, 0.7377228914080439, 0.7429317810513951, 0.7429067540813137, 0.7693508605699282, 0.7634880773656003, 0.7435972293217977, 0.7420508732666841, 0.7486810485521952]","[0.73084635, 0.7390694, 0.7390694, 0.7390694, 0.73886883, 0.7390694, 0.7390694, 0.7390694, 0.7390694, 0.7390694, 0.7390694, 0.7390694, 0.7390694, 0.7390694, 0.7390694, 0.7390694, 0.7390694, 0.7390694, 0.7390694, 0.7390694]","[0.71531534, 0.71531534, 0.71531534, 0.71531534, 0.71531534, 0.71531534, 0.71531534, 0.71531534, 0.71531534, 0.71531534, 0.71531534, 0.71531534, 0.71531534, 0.71531534, 0.71531534, 0.71531534, 0.71531534, 0.71531534, 0.71531534, 0.71531534]",0.7388167381286621
5,16,200,0.001,"[0.9307886925367194, 0.8213943204772649, 0.7669241694480217, 0.7446793835898551, 0.7353949585068049, 0.7287052546310654, 0.7235862042021187, 0.7195883319648547, 0.7161832885286964, 0.7128542169145538, 0.7100270856014945, 0.7078035439155783, 0.7053376590923474, 0.7030724182073438, 0.7009479458964211, 0.6994053832842937, 0.6978775499768874, 0.6963235110917151, 0.6949535070821744, 0.693682352582279]","[0.8904296621546015, 0.825178389076714, 0.8003039832587715, 0.7922719620369576, 0.7884603781743093, 0.7853263654150404, 0.7825649692131592, 0.7798709692181768, 0.778290646033244, 0.7753595307066634, 0.7723980588955922, 0.7690805642454474, 0.7676296287828738, 0.7654759341532046, 0.7634044574187683, 0.7615899422147252, 0.7612667051521508, 0.7585245209771234, 0.7577785479055869, 0.7577120430834658]","[0.70076215, 0.73947054, 0.73927, 0.73967105, 0.73927, 0.73967105, 0.74047333, 0.74087447, 0.74047333, 0.74087447, 0.74127555, 0.7416767, 0.7420778, 0.74187726, 0.7430806, 0.7430806, 0.7430806, 0.7430806, 0.74348176, 0.74288005]","[0.71531534, 0.71531534, 0.71531534, 0.71531534, 0.71531534, 0.71531534, 0.71531534, 0.71531534, 0.71531534, 0.71531534, 0.71531534, 0.71531534, 0.71531534, 0.7135135, 0.7135135, 0.71531534, 0.7135135, 0.71531534, 0.7135135, 0.7135135]",0.7424242496490479
6,16,200,0.002,"[1.1151457504962181, 0.8289544842733804, 0.7505351798485619, 0.7257858935102516, 0.7152309454544166, 0.708035777335276, 0.7024065188935039, 0.6979904111446361, 0.693737570320417, 0.6906980139110349, 0.6876670760272546, 0.6858940683021346, 0.6836715978022995, 0.6829590222417615, 0.6810163409175329, 0.6800202129597747, 0.6789289472861506, 0.6793887951122534, 0.677548152373299, 0.6762906172119658]","[0.9416315958306596, 0.8257876897717381, 0.7927084887349928, 0.7789412124736889, 0.773707369963328, 0.767257883742049, 0.7642615163648451, 0.7628209617760804, 0.754058631153794, 0.7519840512189779, 0.7514167997214172, 0.7500998136159536, 0.7462259289380666, 0.7459179775134938, 0.7458733583355809, 0.7435221978136011, 0.7450909372922536, 0.7411308036194192, 0.7439128847809525, 0.7455379877004538]","[0.43180907, 0.7224228, 0.7390694, 0.7390694, 0.7390694, 0.7398716, 0.74047333, 0.74127555, 0.74127555, 0.74047333, 0.74047333, 0.7406739, 0.74047333, 0.7414761, 0.7414761, 0.74107504, 0.74027276, 0.7422784, 0.7438829, 0.7432812]","[0.63243246, 0.71531534, 0.71531534, 0.71711713, 0.71711713, 0.7189189, 0.7189189, 0.7189189, 0.7189189, 0.7189189, 0.7189189, 0.71711713, 0.71711713, 0.71711713, 0.7189189, 0.7189189, 0.7189189, 0.7207207, 0.71711713, 0.71711713]",0.7402597665786743
7,16,200,0.003,"[0.8822117287425023, 0.7469999572143371, 0.7188221349612901, 0.7069279220369127, 0.7000408947013537, 0.6960218416319953, 0.691570664618898, 0.6887270650182725, 0.687336281414162, 0.6838800782809237, 0.6816589418922712, 0.6804406479138521, 0.6780437315940092, 0.6764045055975074, 0.6750194768182638, 0.673620356405972, 0.6714974303490371, 0.6720616599904262, 0.6702303644695581, 0.6697276665224304]","[0.8133833139866322, 0.7734361473504487, 0.7642035172866272, 0.760937715972866, 0.7555425349656526, 0.7528168661100371, 0.7514411323779339, 0.7552159133258166, 0.7507676304997625, 0.7471575194650942, 0.7484184584102115, 0.7454284601383381, 0.7438029748899443, 0.746763084922825, 0.7436392774453034, 0.7440258296760353, 0.7428781073372643, 0.7445212994609867, 0.7428792468062392, 0.7461645291732238]","[0.68090653, 0.73967105, 0.73927, 0.7416767, 0.74187726, 0.7420778, 0.7422784, 0.74288005, 0.7416767, 0.7436823, 0.74288005, 0.7438829, 0.7438829, 0.7432812, 0.74348176, 0.7436823, 0.7436823, 0.7438829, 0.7440834, 0.74508625]","[0.71531534, 0.7135135, 0.7135135, 0.71711713, 0.7207207, 0.7189189, 0.7189189, 0.71531534, 0.71711713, 0.71711713, 0.71711713, 0.7189189, 0.71711713, 0.71711713, 0.7135135, 0.71531534, 0.7117117, 0.7117117, 0.71531534, 0.7135135]",0.7373737096786499
8,16,200,0.005,"[0.7865865353451548, 0.719782427138609, 0.7047027127120182, 0.698519502114542, 0.6934605718997889, 0.6900024163020073, 0.687918881025364, 0.6851141283514984, 0.682584164040279, 0.6822655429765493, 0.6815936028646552, 0.6805681537730695, 0.6784934809874493, 0.678392704452227, 0.6768227436912619, 0.6756078635790336, 0.6741993607070806, 0.6744063149912024, 0.6731878174054207, 0.6707816872068835]","[0.8066404000058904, 0.7795005816597123, 0.7710979172775337, 0.7673178497735444, 0.7606340807837408, 0.7550506183693001, 0.7541952954756247, 0.7522296271882616, 0.7578520882237065, 0.7529021061218537, 0.7497951989775306, 0.7488073749585195, 0.7475977840724292, 0.7480032733968787, 0.7481826892844191, 0.7439924134864463, 0.7448279207891172, 0.7481493692140322, 0.7471768383507256, 0.7477236051817198]","[0.73305255, 0.73947054, 0.74047333, 0.7406739, 0.74027276, 0.74288005, 0.74087447, 0.74187726, 0.74348176, 0.7436823, 0.7440834, 0.74508625, 0.74448454, 0.7440834, 0.7448857, 0.7470918, 0.74448454, 0.7438829, 0.7456879, 0.7454874]","[0.7207207, 0.7135135, 0.7135135, 0.71531534, 0.7099099, 0.7135135, 0.7099099, 0.7135135, 0.71531534, 0.71711713, 0.71531534, 0.7135135, 0.7135135, 0.7117117, 0.7117117, 0.71711713, 0.7135135, 0.7081081, 0.7135135, 0.7135135]",0.7395382523536682
9,16,200,0.1,"[0.7836273567914676, 0.7141180651473846, 0.716242792397869, 0.7043252690126272, 0.6962346183550774, 0.694422198379561, 0.6959807525855491, 0.6904842876020417, 0.6907051183638973, 0.6905738072992088, 0.6928326661597282, 0.6953740423336786, 0.6957913256054942, 0.6884917633341251, 0.6901533865708689, 0.6977186773466959, 0.6861518942061744, 0.6875886423636574, 0.6866633593916558, 0.6868406754634105]","[0.7667896532797599, 0.7620089805877961, 0.7551232291771485, 0.7422205827257655, 0.7502682123098288, 0.751171187774555, 0.7489955027898153, 0.7661333594236288, 0.7472060709386259, 0.7333851274069365, 0.7375652720262339, 0.7476112343169548, 0.749747941622863, 0.7354895488635914, 0.7401020156370627, 0.7454495177612649, 0.7520479683403496, 0.7437181999017527, 0.7410323727238286, 0.7475194045015283]","[0.7390694, 0.7390694, 0.7390694, 0.7390694, 0.7390694, 0.7390694, 0.7390694, 0.7390694, 0.7390694, 0.7390694, 0.73927, 0.73886883, 0.7390694, 0.73866826, 0.7390694, 0.7390694, 0.73927, 0.7390694, 0.7390694, 0.7390694]","[0.71531534, 0.71531534, 0.71531534, 0.71531534, 0.71531534, 0.71531534, 0.71531534, 0.71531534, 0.71531534, 0.71531534, 0.71531534, 0.71531534, 0.71531534, 0.71531534, 0.71531534, 0.71531534, 0.71531534, 0.71531534, 0.71531534, 0.71531534]",0.7388167381286621
