,n_units,batch_size,ln_rate,train_loss,val_loss,train_acc,val_acc,test_acc
0,16,100,0.001,"[0.8524879037353632, 0.5965019189302481, 0.48363038501823663, 0.4511423633130162, 0.4369978788049165, 0.42952463376297323, 0.42387016945415074, 0.4210064354738556, 0.41751980848499826, 0.41528430331245847, 0.4136180296940733, 0.4119670335494798, 0.41050536280839356, 0.40911488597812873, 0.40790043461050224, 0.40664563974461976, 0.4055932526888735, 0.40460944020313, 0.40400811600675557, 0.403392030061415]","[0.7118077519777659, 0.5427512188215513, 0.4841895602844857, 0.46726941149514, 0.4589020744100347, 0.4554090403221749, 0.45571297783035414, 0.4523869817321365, 0.4521170484053122, 0.4487590494456592, 0.44807043859550544, 0.44893811039022496, 0.4452355643650433, 0.4475911028750308, 0.4468767460402068, 0.44403067204329344, 0.4432919750342498, 0.4429105165842417, 0.4429370954230025, 0.44486115376154584]","[0.73947054, 0.8658243, 0.86602485, 0.86602485, 0.86602485, 0.866426, 0.866426, 0.866426, 0.86662656, 0.8670277, 0.8662254, 0.8670277, 0.8670277, 0.8670277, 0.86682713, 0.8670277, 0.8670277, 0.8672282, 0.8672282, 0.8674288]","[0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224]",0.8759018778800964
1,16,100,0.002,"[0.6639704437940608, 0.44936775764307724, 0.4326796156069958, 0.4221809716096519, 0.4159696227783091, 0.4118165785272677, 0.40888684185881524, 0.4067183592880867, 0.4048332774012719, 0.40318696591158826, 0.4027469144185958, 0.400799240063722, 0.4012909703378069, 0.39866551394640465, 0.3998093336306563, 0.39763808613841045, 0.3969660863501453, 0.3969337025465279, 0.39600477110321053, 0.39575904188173344]","[0.48065390243186606, 0.4672055163898984, 0.4568479984730214, 0.4494370742961093, 0.4495191241169835, 0.4430402877094509, 0.4434491229486895, 0.4425194362799327, 0.4398898036630304, 0.440369658641987, 0.4379089737797643, 0.4347804038374274, 0.4364595230635222, 0.4345456240950404, 0.43232049007673523, 0.43292351536922624, 0.4351745916379465, 0.4297917512086061, 0.4301460594744296, 0.4297071510070079]","[0.7978339, 0.86602485, 0.86602485, 0.8658243, 0.86602485, 0.86602485, 0.86602485, 0.86602485, 0.866426, 0.8658243, 0.8658243, 0.8662254, 0.8670277, 0.86682713, 0.8662254, 0.8662254, 0.86662656, 0.86662656, 0.86682713, 0.86662656]","[0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224]",0.8759018778800964
2,16,100,0.003,"[0.5447268641071534, 0.4380760801947839, 0.4211955839641784, 0.4131400372864394, 0.4096221304470595, 0.40583362550176966, 0.404247685280661, 0.40323420225784956, 0.40214865633487895, 0.4003442182772331, 0.39952445442639245, 0.39826211292032154, 0.39758173040104255, 0.39647399878291495, 0.39538680667911624, 0.3952196071868052, 0.3933813604206815, 0.3949277314181506, 0.3943990527674992, 0.3937550864925453]","[0.4807910387580459, 0.4529878121238571, 0.44510376077514513, 0.4426510146072319, 0.4369315357358606, 0.4401544882907524, 0.4366982858460229, 0.4327177424151618, 0.43627379337946576, 0.4331081595506754, 0.4296170027406366, 0.43411120664965996, 0.43649892415012326, 0.43364767099285983, 0.4379801734073742, 0.43083695060498006, 0.4368436661389497, 0.4335389717205151, 0.43218458128405046, 0.4335057125972198]","[0.8419575, 0.86602485, 0.86602485, 0.86602485, 0.86602485, 0.8658243, 0.86602485, 0.8658243, 0.8648215, 0.8654232, 0.86602485, 0.86522263, 0.8658243, 0.8658243, 0.86502206, 0.86682713, 0.8658243, 0.8662254, 0.86662656, 0.8672282]","[0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85045046, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85045046, 0.85225224, 0.85225224, 0.85045046, 0.85225224, 0.85225224, 0.85045046, 0.85045046]",0.8737373948097229
3,16,100,0.005,"[0.5386389665129288, 0.4301909032209399, 0.4145273867616489, 0.4098410619055943, 0.40548994918449116, 0.40420094003315865, 0.4030669459821324, 0.4022794598515522, 0.40035011231110273, 0.40115343758106425, 0.3997507319481938, 0.3986525945858548, 0.3972739214955493, 0.39814811330505323, 0.395996196856711, 0.3963334078034195, 0.39514134500909415, 0.39575880272198144, 0.39571440254546913, 0.3939502431095435]","[0.44904762184297714, 0.4418119696883468, 0.43542388725925135, 0.4336675861934284, 0.4423168135118914, 0.440214779999879, 0.43485733678749017, 0.43591055461952277, 0.43284565962112703, 0.4301645820205276, 0.43719547879588494, 0.4315693977179828, 0.42879927722183436, 0.4311399032940736, 0.4369767235743033, 0.43644605241380297, 0.43295140792657666, 0.4276943751820573, 0.4312180189399032, 0.431835613540701]","[0.8415564, 0.86502206, 0.86602485, 0.86522263, 0.86682713, 0.86602485, 0.86602485, 0.86682713, 0.86662656, 0.8674288, 0.8670277, 0.8670277, 0.8680305, 0.86762935, 0.8670277, 0.86762935, 0.86762935, 0.866426, 0.8678299, 0.8680305]","[0.85225224, 0.85225224, 0.8576577, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85405403, 0.85225224, 0.85045046, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224]",0.8722943663597107
4,16,100,0.1,"[0.4621642574076188, 0.4231011564479121, 0.4187702641064414, 0.4219100418886505, 0.4199176369495675, 0.42287481248354847, 0.41710491015210094, 0.42860890214241415, 0.42154340037752525, 0.4174896065747934, 0.4204750131924756, 0.41920015114261305, 0.4211842930082619, 0.42007501154982607, 0.4216194654438709, 0.4239038016678481, 0.41929888421638967, 0.41620449180876545, 0.4181363844292928, 0.41535108688601613]","[0.438675725245261, 0.4418723636919314, 0.4267353702772845, 0.4445152943198745, 0.42354685229224126, 0.4458508529104628, 0.43970314634812846, 0.4494612324345219, 0.44376767164952047, 0.4422977311654134, 0.44994614521662396, 0.45471922341767734, 0.44367332179267127, 0.445939445280814, 0.486998404468502, 0.44925198361680313, 0.44798217968897774, 0.4520451791651614, 0.4413655174745096, 0.46641789631800606]","[0.85980743, 0.86602485, 0.86602485, 0.86602485, 0.86602485, 0.86602485, 0.86602485, 0.86602485, 0.86602485, 0.86602485, 0.8658243, 0.86602485, 0.86602485, 0.86602485, 0.86602485, 0.86602485, 0.86602485, 0.86602485, 0.86602485, 0.86602485]","[0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224]",0.8766233921051025
5,16,200,0.001,"[0.8486795808673144, 0.6560695221803775, 0.5556379024565483, 0.5025518073812815, 0.47225096543247425, 0.452639304439179, 0.44148656713929085, 0.43471612067907345, 0.4298929445508298, 0.4256909640974373, 0.4227176775570811, 0.42013128516045717, 0.41807114738467416, 0.4163072750815129, 0.4146572295030914, 0.41315897929826223, 0.4121335648744402, 0.4109404635534581, 0.40982636298896125, 0.40924435635192585]","[0.7386751668947237, 0.6026180939631419, 0.5339677688237783, 0.49552301431561374, 0.47318319372228673, 0.4606956936217643, 0.4538649554188187, 0.44929543969867464, 0.44613149681606806, 0.4453142416906786, 0.4418445688647193, 0.44112856941180184, 0.4411544646765735, 0.4394337124115712, 0.4389204431224514, 0.4381232495243485, 0.4376375667146734, 0.4375298401793918, 0.4366184019290649, 0.43784571929020927]","[0.8533895, 0.86602485, 0.86602485, 0.86602485, 0.86602485, 0.86602485, 0.86602485, 0.86602485, 0.86602485, 0.86602485, 0.8658243, 0.866426, 0.8662254, 0.8656238, 0.8658243, 0.8658243, 0.8662254, 0.8662254, 0.8662254, 0.866426]","[0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224]",0.8737373948097229
6,16,200,0.002,"[0.7826805005482866, 0.5591105275301392, 0.45156287026845254, 0.430037598687867, 0.4221289525823903, 0.41747613867458644, 0.414597992623517, 0.4123752515716721, 0.4105174603277643, 0.40916849356600427, 0.407262237398107, 0.4064412535408439, 0.40533327068901903, 0.4048107386926451, 0.40340687991431856, 0.40247509268407977, 0.4015251875306247, 0.40069497133707166, 0.3997871645521171, 0.39925858546967397]","[0.6731372083629574, 0.48904668184014055, 0.44957465926806134, 0.44235583119564226, 0.44046680105699076, 0.43831334162402796, 0.43401111810057014, 0.43487439740885486, 0.4377007763665002, 0.4324556081681638, 0.4332240095009675, 0.43456426772985374, 0.42952611344354646, 0.4330471582240886, 0.4300456310177709, 0.42989308152112876, 0.43411964258632146, 0.42929408088460697, 0.43224574021390966, 0.43219197816676924]","[0.8287204, 0.86602485, 0.86602485, 0.8658243, 0.86682713, 0.86682713, 0.8670277, 0.86662656, 0.86662656, 0.86662656, 0.866426, 0.86662656, 0.8662254, 0.8662254, 0.866426, 0.8670277, 0.86662656, 0.8670277, 0.8672282, 0.8674288]","[0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85405403, 0.85405403, 0.85405403, 0.85405403, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85405403, 0.85405403, 0.85225224, 0.85405403, 0.85405403, 0.85225224]",0.8737373948097229
7,16,200,0.003,"[0.8461042870205184, 0.5232985052080266, 0.4483030458865183, 0.4260647251478793, 0.41812496635027313, 0.41431041013462877, 0.4111373908205105, 0.4082837947941286, 0.40583695088148214, 0.40396846491937605, 0.4021224815157872, 0.40124166676475015, 0.4007581129544622, 0.3992648281536569, 0.39803490253083923, 0.3986044163164536, 0.3967808841511374, 0.3975481268061819, 0.39584627537138245, 0.3956276622107361]","[0.6255141308715751, 0.4949048698485435, 0.45699217942383913, 0.4480909750805245, 0.441938504173949, 0.43737116241240287, 0.43628358196567846, 0.43426400503596746, 0.43343929449717206, 0.4318959530409392, 0.4333182302144197, 0.42926809997171966, 0.430263458608507, 0.4286796308315552, 0.43011330108384827, 0.4263600999707574, 0.43234260984369227, 0.4292584018664317, 0.4344215221233196, 0.428221307896279]","[0.73365426, 0.86602485, 0.86602485, 0.86602485, 0.86602485, 0.86602485, 0.86602485, 0.86602485, 0.86602485, 0.866426, 0.86662656, 0.86682713, 0.86662656, 0.86682713, 0.86682713, 0.8670277, 0.8674288, 0.8672282, 0.8672282, 0.8672282]","[0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224]",0.8766233921051025
8,16,200,0.005,"[0.687191167403262, 0.43711128031160285, 0.4203854603218449, 0.414720863593997, 0.41158432584902965, 0.4090525189700779, 0.4065785594747767, 0.4039417754274461, 0.40389784889626684, 0.40291286296649387, 0.3997661477344083, 0.4005595971028871, 0.3997344977756222, 0.39817762337819285, 0.3973733178353721, 0.3970517072508338, 0.39631684110722193, 0.3963210067020283, 0.39529180346221937, 0.3947261307691887]","[0.48535620119120626, 0.4446949002979038, 0.44076374226862247, 0.4396398668890601, 0.4368505131553959, 0.4323073684632241, 0.4350060015111356, 0.43205678275039605, 0.44114187145018363, 0.44107670800105947, 0.4394430032184532, 0.43823151438085883, 0.4396671250059798, 0.4368185532522631, 0.44192989882048184, 0.4314712557169768, 0.4401987570900101, 0.4322881465022628, 0.43152366806794934, 0.4302023482752276]","[0.7723626, 0.8656238, 0.8658243, 0.8654232, 0.8662254, 0.866426, 0.86602485, 0.86662656, 0.86602485, 0.86662656, 0.8674288, 0.8674288, 0.8662254, 0.8674288, 0.8680305, 0.8670277, 0.866426, 0.8674288, 0.8670277, 0.86823106]","[0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85405403, 0.85225224, 0.85405403, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85045046, 0.85405403, 0.85045046, 0.85225224, 0.85225224, 0.85225224]",0.869408369064331
9,16,200,0.1,"[0.5087711909330852, 0.4255459082446995, 0.4202575132974027, 0.4184295472685611, 0.4126714070040301, 0.4145976037468434, 0.4152333223456319, 0.4109027504299331, 0.4120886545438533, 0.4085698271199397, 0.4135710568945426, 0.4089365322284798, 0.41073684859983517, 0.4088883494044517, 0.4100528244053175, 0.4111587703108453, 0.40776621659405493, 0.40682030834684973, 0.40605880156894597, 0.4106514574029672]","[0.4579149022832647, 0.4549359786617863, 0.44753364936725515, 0.45522492076899557, 0.4427336099985483, 0.4324615788352382, 0.43249750298422734, 0.439033150941402, 0.44518862355936756, 0.4433497931506183, 0.43603382588506817, 0.4384071888687374, 0.43313101927439374, 0.43469091873985155, 0.43859500471536106, 0.43024258141045096, 0.43033542880066883, 0.44102460844022734, 0.4357183656177005, 0.43580905784357776]","[0.833935, 0.86602485, 0.86602485, 0.86602485, 0.86602485, 0.8662254, 0.86602485, 0.86602485, 0.8656238, 0.8662254, 0.86602485, 0.8658243, 0.86602485, 0.86602485, 0.86602485, 0.86602485, 0.86602485, 0.86602485, 0.86602485, 0.86602485]","[0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85045046, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224, 0.85225224]",0.8766233921051025
