,lookback,n_units,batch_size,ln_rate,train_loss,val_loss,train_acc,val_acc,test_acc
0,5,16,100,0.001,"[0.2710131624309099, 0.270897371069345, 0.2708471432533036, 0.2708217127058638, 0.2708085124817558, 0.2708012179124241, 0.2707968722200531, 0.2707941658887697, 0.2707923705530894, 0.2707911271276562, 0.2707902061714268, 0.27078950282884784, 0.27078895200544617, 0.27078851070928694, 0.27078812823759385]","[0.236578733910548, 0.23650340230454434, 0.23646722858697833, 0.23644816954230422, 0.23643780437335044, 0.23643163621163052, 0.23642780313407796, 0.23642525352570454, 0.23642346354833257, 0.23642220292322436, 0.23642122561711046, 0.23642045338248366, 0.23641982661469918, 0.23641928518396116, 0.23641880992225614]","[0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264]","[0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696]",0.7442477941513062
1,5,16,100,0.005,"[0.27086920104117956, 0.27079247923994243, 0.27078781348682407, 0.2707867021035118, 0.2707862154517076, 0.2707859806282273, 0.27078584990462473, 0.27078577469814236, 0.2707857324985177, 0.2707856998947692, 0.2707856842324532, 0.27078567108000806, 0.27078566329957576, 0.2707856820865153, 0.2707856687615641]","[0.2364327692250323, 0.23641934321315278, 0.2364172063735088, 0.2364164073561782, 0.23641605077861164, 0.23641587905421657, 0.23641576693446625, 0.23641570732982148, 0.23641566794349234, 0.2364156411607885, 0.23641561490323576, 0.23641561490323576, 0.23641560833884756, 0.23641560833884756, 0.23641560833884756]","[0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264]","[0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696]",0.7442477941513062
2,5,16,100,0.1,"[0.27080956444341525, 0.27078579912904344, 0.2707856786741517, 0.2707856808018435, 0.2707856546541529, 0.2707856685794237, 0.27078566687416317, 0.2707856679713566, 0.2707856801259842, 0.2707856774331748, 0.27078567010650245, 0.27078565888411804, 0.27078566992729464, 0.2707856694741154, 0.27078566722630937]","[0.23641609672932898, 0.23641563459640033, 0.23641561490323576, 0.23641560833884756, 0.23641560833884756, 0.23641560833884756, 0.23641560833884756, 0.23641560833884756, 0.23641560833884756, 0.23641560833884756, 0.23641560833884756, 0.23641560833884756, 0.23641560833884756, 0.23641560833884756, 0.23641560833884756]","[0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264]","[0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696]",0.7442477941513062
3,5,16,500,0.001,"[0.2710592335408477, 0.27101818548352336, 0.2709850576437365, 0.27095798982148783, 0.2709354171895762, 0.2709161382783474, 0.27089969989625967, 0.27088544400565656, 0.2708732294011273, 0.27086256666856856, 0.27085331848052485, 0.27084532607989126, 0.27083837202374833, 0.2708323150668451, 0.270827134596474]","[0.23667395114898682, 0.2366361767053604, 0.23660553991794586, 0.23658040165901184, 0.23655878007411957, 0.23654046654701233, 0.23652468621730804, 0.2365112453699112, 0.23649956285953522, 0.23648956418037415, 0.23648086190223694, 0.23647326231002808, 0.23646673560142517, 0.23646104335784912, 0.23645615577697754]","[0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264]","[0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696]",0.7442477941513062
4,5,16,500,0.005,"[0.27097847799343133, 0.27087586542862374, 0.270831072596554, 0.2708112583324026, 0.2708024500280085, 0.2707974883579933, 0.2707942413795875, 0.27079222990377644, 0.2707908709814714, 0.2707898710503249, 0.2707891330718702, 0.2707885310386424, 0.2707880169833031, 0.2707876353858171, 0.2707873321219873]","[0.236545592546463, 0.2364806830883026, 0.23645131289958954, 0.23643895983695984, 0.2364320605993271, 0.23642729222774506, 0.23642420768737793, 0.23642227053642273, 0.23642092943191528, 0.23641999065876007, 0.23641923069953918, 0.23641858994960785, 0.23641808331012726, 0.23641768097877502, 0.23641735315322876]","[0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264]","[0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696]",0.7442477941513062
5,5,16,500,0.1,"[0.27088078022412526, 0.27079546526129233, 0.27078875612037157, 0.2707868723381133, 0.27078619616557403, 0.27078589190867425, 0.27078580740096375, 0.2707857393327486, 0.2707857052309711, 0.27078569433927124, 0.2707857073435223, 0.27078567186508923, 0.27078565612329347, 0.27078566912023466, 0.27078568282134347]","[0.23643551766872406, 0.23642025887966156, 0.2364172339439392, 0.23641633987426758, 0.23641584813594818, 0.23641571402549744, 0.23641565442085266, 0.23641562461853027, 0.23641559481620789, 0.23641559481620789, 0.2364155799150467, 0.2364155799150467, 0.2364155650138855, 0.2364155650138855, 0.2364155650138855]","[0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264]","[0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696]",0.7442477941513062
6,5,16,800,0.001,"[0.27105354705744583, 0.27102558204786786, 0.27100032916898353, 0.2709782490265086, 0.2709590480086088, 0.2709424778150231, 0.27092796988622625, 0.2709151498967887, 0.27090372456741646, 0.2708934694345833, 0.2708840931787975, 0.2708756908324819, 0.27086795428200144, 0.2708608880763572, 0.2708544280706213]","[0.2366684228181839, 0.23664285242557526, 0.23662054538726807, 0.236601322889328, 0.23658475279808044, 0.23657019436359406, 0.23655715584754944, 0.23654548823833466, 0.2365349382162094, 0.23652537167072296, 0.2365165799856186, 0.23650847375392914, 0.23650100827217102, 0.2364940494298935, 0.2364877164363861]","[0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264]","[0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696]",0.7442477941513062
7,5,16,800,0.005,"[0.2710698716980128, 0.2709664152055679, 0.27090016746450823, 0.270856470787174, 0.2708287468312095, 0.2708116974028297, 0.270802395576819, 0.2707975036977464, 0.2707945637355577, 0.27079263030532413, 0.2707912827900645, 0.2707903067073548, 0.2707895484659524, 0.2707889733841994, 0.27078853155398797]","[0.23664253950119019, 0.23656238615512848, 0.23650890588760376, 0.23647357523441315, 0.23645153641700745, 0.23643849790096283, 0.2364317923784256, 0.2364276796579361, 0.23642489314079285, 0.23642295598983765, 0.236421599984169, 0.23642058670520782, 0.23641975224018097, 0.23641914129257202, 0.23641864955425262]","[0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264]","[0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696]",0.7442477941513062
8,5,16,800,0.1,"[0.27091596636492626, 0.27081150759485734, 0.27079372903661514, 0.27078973135879175, 0.2707875043204932, 0.27078672182861135, 0.27078622658521134, 0.2707859398922793, 0.2707858319109434, 0.2707858254928813, 0.27078574112241166, 0.27078573199604433, 0.2707857248543056, 0.270785693429193, 0.27078569065509894]","[0.23645880818367004, 0.2364269345998764, 0.23642146587371826, 0.236418217420578, 0.2364169955253601, 0.23641633987426758, 0.23641593754291534, 0.2364157736301422, 0.23641569912433624, 0.23641565442085266, 0.23641562461853027, 0.23641560971736908, 0.23641559481620789, 0.23641559481620789, 0.2364155799150467]","[0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264]","[0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696]",0.7442477941513062
9,5,32,100,0.001,"[0.2710024077049622, 0.27087637978781504, 0.2708312789920892, 0.2708113146870523, 0.2708014494064813, 0.2707961161898868, 0.27079295170092704, 0.2707910272495844, 0.27078972532810575, 0.27078879943260353, 0.2707881717798537, 0.27078764837782315, 0.27078725792135205, 0.27078696513085243, 0.27078673077557674]","[0.2365562613840145, 0.23648440732829895, 0.23645350481445043, 0.23643850991379323, 0.2364306633693006, 0.23642601814564104, 0.23642319834704967, 0.23642128417145314, 0.23642003720027235, 0.23641908720201332, 0.2364183811364195, 0.2364178331412933, 0.23641741091984483, 0.23641707456059394, 0.2364168169740013]","[0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264, 0.72921264]","[0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696, 0.7246696]",0.7442477941513062
