,lookback,n_units,batch_size,ln_rate,train_loss,val_loss,train_acc,val_acc,test_acc
0,5,16,100,0.001,"[0.10942449933356503, 0.10932966525931938, 0.10928786250009928, 0.10926419627852339, 0.10924970956668952, 0.10924104492608434, 0.10923592346538598, 0.10923271435491212, 0.10923058515613339, 0.10922909098323158, 0.10922792883009183, 0.10922706850960075, 0.10922637614620638, 0.10922585137418599, 0.10922540545237235]","[0.03791110237743224, 0.037855189397493536, 0.03782470362587675, 0.037805664724863325, 0.0377934922124695, 0.03778588830697978, 0.03778087019406659, 0.0377775920155929, 0.03777528928039291, 0.03777357638268611, 0.03777223125272823, 0.037771227760839535, 0.03777044821281872, 0.037769838463370474, 0.03776931570804251]","[0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562]","[0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483]",0.5944609045982361
1,5,16,100,0.005,"[0.10936212363574743, 0.1092371356813875, 0.10922688286598414, 0.10922471840408372, 0.10922389253829033, 0.10922349928176567, 0.10922331545319798, 0.10922320641758664, 0.10922315184104515, 0.1092231270072092, 0.10922309455506465, 0.10922307796674231, 0.10922306816871852, 0.1092230675864482, 0.10922307020997347]","[0.03780552678525172, 0.037775332847599506, 0.03776975379409786, 0.037768062097928955, 0.03776736452259841, 0.0377670151565477, 0.03776683752499401, 0.037766725485086125, 0.03776669730941699, 0.03776667418644175, 0.03776660978032103, 0.03776659885181586, 0.03776659628665945, 0.03776658738130921, 0.03776658626232276]","[0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562]","[0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483]",0.5944609045982361
2,5,16,100,0.1,"[0.10925245621319846, 0.10922332713779606, 0.10922310939180645, 0.10922306879805478, 0.10922308846671454, 0.10922307194989148, 0.10922307909770386, 0.10922306943943144, 0.1092230679635808, 0.10922308188485995, 0.10922307664855399, 0.10922306342934254, 0.10922306764488016, 0.10922307187968806, 0.10922307919871918]","[0.03776747779732134, 0.03776668262148358, 0.03776660049052429, 0.03776658937987254, 0.037766587387258695, 0.037766586202159606, 0.03776658550804171, 0.03776658505407354, 0.03776658480558113, 0.03776658463620356, 0.03776658453702546, 0.03776658447377838, 0.03776658443784436, 0.03776658440985703, 0.03776658439167064]","[0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562]","[0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483]",0.5944609045982361
3,5,16,500,0.001,"[0.1094495858231636, 0.109416213856168, 0.10938768231705444, 0.10936374874460217, 0.10934380508244854, 0.10932696830124071, 0.10931294492652403, 0.10930116623197522, 0.10929122234416379, 0.10928283601182781, 0.10927561731779412, 0.109269453850511, 0.10926418067657784, 0.10925964806994347, 0.109255704161239]","[0.0380171537399292, 0.03798481822013855, 0.037956174463033676, 0.03793104737997055, 0.03790959715843201, 0.03789154440164566, 0.03787636384367943, 0.03786340355873108, 0.03785233199596405, 0.03784249722957611, 0.03783412277698517, 0.037826962769031525, 0.037820786237716675, 0.03781557083129883, 0.03781091049313545]","[0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562]","[0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483]",0.5944609045982361
4,5,16,500,0.005,"[0.10942054856313418, 0.10932275897836032, 0.10927788127366811, 0.10925587914782027, 0.10924332497054584, 0.10923675080276515, 0.1092328572109954, 0.10923038328198581, 0.10922870529841071, 0.1092275539285516, 0.10922672242334444, 0.1092261063725981, 0.10922558952684272, 0.10922519791207902, 0.10922485875756774]","[0.03791528567671776, 0.037849411368370056, 0.03781647980213165, 0.03779849782586098, 0.03778834268450737, 0.03778241574764252, 0.0377785861492157, 0.037775807082653046, 0.03777388855814934, 0.037772469222545624, 0.037771426141262054, 0.03777061775326729, 0.03776992857456207, 0.03776939958333969, 0.03776894882321358]","[0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562]","[0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483]",0.5944609045982361
5,5,16,500,0.1,"[0.10932498185397828, 0.10923672947165085, 0.10922763716072252, 0.10922440825259849, 0.10922360001769785, 0.10922331985545485, 0.1092232053410517, 0.10922314726734815, 0.10922311920009248, 0.10922309939991938, 0.10922309219797788, 0.10922307006669589, 0.10922307072028722, 0.10922308424364528, 0.10922307265947943]","[0.03779098019003868, 0.03777376189827919, 0.03776906803250313, 0.037767406553030014, 0.037767037749290466, 0.03776682913303375, 0.037766747176647186, 0.0377667061984539, 0.03776668757200241, 0.03776667267084122, 0.03776666522026062, 0.037766654044389725, 0.03776664659380913, 0.03776663914322853, 0.03776663541793823]","[0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562]","[0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483]",0.5944609045982361
6,5,16,800,0.001,"[0.10955000596682299, 0.10952116528602496, 0.10949468449370502, 0.10947049970496191, 0.10944905448449802, 0.10942969624310324, 0.10941253218812587, 0.10939705657632384, 0.10938315481355745, 0.10937057945826283, 0.10935913169220703, 0.1093486004496274, 0.10933908207775796, 0.10933029871076753, 0.10932232010854434]","[0.03810809552669525, 0.03808245062828064, 0.03805910795927048, 0.03803778067231178, 0.038018569350242615, 0.038001030683517456, 0.03798505291342735, 0.037970319390296936, 0.037956733256578445, 0.0379442498087883, 0.03793273866176605, 0.03792202100157738, 0.03791210800409317, 0.037903010845184326, 0.03789440542459488]","[0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562]","[0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483]",0.5944609045982361
7,5,16,800,0.005,"[0.10945012185671558, 0.10936451560422165, 0.1093183404778781, 0.10929069535373008, 0.10927191846174737, 0.10925909101146541, 0.10924956284157217, 0.10924270667441904, 0.10923813181380702, 0.10923499358843451, 0.10923276249676535, 0.10923114949709749, 0.10922985595383056, 0.1092288662651187, 0.1092281504853131]","[0.03795282915234566, 0.03789929673075676, 0.03786425665020943, 0.0378388985991478, 0.03782057389616966, 0.037807073444128036, 0.03779726102948189, 0.03779048100113869, 0.037785861641168594, 0.037782516330480576, 0.0377800352871418, 0.037778086960315704, 0.03777657449245453, 0.037775393575429916, 0.03777443245053291]","[0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562]","[0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483]",0.5944609045982361
8,5,16,800,0.1,"[0.10936657288303114, 0.10926041374467824, 0.10923227545333235, 0.10922879654250733, 0.10922637816569576, 0.10922477588261643, 0.10922392663341682, 0.10922354745538268, 0.10922338701274296, 0.10922333843087496, 0.10922326992648504, 0.10922321544526374, 0.10922316369945057, 0.10922315594268171, 0.1092230983792919]","[0.037828102707862854, 0.037780050188302994, 0.03777356818318367, 0.037770628929138184, 0.037768859416246414, 0.0377676747739315, 0.03776722028851509, 0.03776703029870987, 0.03776690363883972, 0.037766825407743454, 0.03776676207780838, 0.0377667210996151, 0.03776669502258301, 0.037766680121421814, 0.03776666894555092]","[0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562]","[0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483]",0.5944609045982361
9,5,32,100,0.001,"[0.10942687761367056, 0.1093107337418749, 0.10926818874477623, 0.10924904573208824, 0.10923963904011319, 0.10923445384264907, 0.10923132682384601, 0.10922932056559621, 0.10922795229319876, 0.10922694927762988, 0.1092262106088203, 0.10922566322375905, 0.10922523698249503, 0.10922484248379527, 0.10922455994175037]","[0.03791397285281813, 0.037845202206460225, 0.03781272325166696, 0.03779634061037778, 0.03778678222753012, 0.03778091901393216, 0.03777706318221937, 0.03777460246279866, 0.03777282104604149, 0.03777153207261444, 0.037770604887169934, 0.037769856873463035, 0.0377692602374275, 0.037768818267357104, 0.03776844584156275]","[0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562, 0.5983562]","[0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483, 0.6034483]",0.5944609045982361
