,lookback,n_units,batch_size,ln_rate,train_loss,val_loss,train_acc,val_acc,test_acc
0,5,16,100,0.001,"[0.18631362825244124, 0.18622595392155722, 0.1861831071607209, 0.18616086395813308, 0.1861479417443041, 0.18613968611569265, 0.18613423619829741, 0.18613055992749528, 0.18612809345106382, 0.18612636223080506, 0.18612518458027483, 0.18612433704506004, 0.18612372828083476, 0.18612326340503224, 0.18612290287682834]","[1.1030137046583843, 1.1029452066133858, 1.1029110756938252, 1.1028918828599137, 1.1028802993679268, 1.1028726207407886, 1.1028675268255088, 1.1028640606287183, 1.1028615759033062, 1.1028598549747688, 1.1028586765729633, 1.1028578230233868, 1.1028571871483133, 1.102856737831629, 1.1028563578001584]","[0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128]","[0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406]",0.608208954334259
1,5,16,100,0.005,"[0.18622350546746186, 0.18613325641658512, 0.18612479423134287, 0.18612297034959574, 0.1861222059310043, 0.18612185710458695, 0.1861216597110279, 0.18612157592251952, 0.18612151116251185, 0.18612147002921156, 0.18612145807149938, 0.1861214517943126, 0.1861214520061278, 0.18612143216904495, 0.18612146880973543]","[1.1028828844946665, 1.1028610254938254, 1.1028573423140011, 1.1028560189802519, 1.10285542818897, 1.1028551275381633, 1.1028549859252716, 1.102854923693044, 1.10285487888584, 1.1028548166536123, 1.1028547993668825, 1.1028547959095365, 1.1028547959095365, 1.1028547959095365, 1.1028547924521905]","[0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128]","[0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406]",0.608208954334259
2,5,16,100,0.1,"[0.1861470883109638, 0.1861215716561434, 0.18612144340467313, 0.18612144832977046, 0.18612143396354602, 0.18612143806431708, 0.18612141172675897, 0.18612143391229646, 0.18612141131369536, 0.18612143935830983, 0.18612143320970462, 0.18612144863662164, 0.1861214399476736, 0.1861214418427649, 0.18612144290333596]","[1.1028553557229983, 1.1028548131962663, 1.1028547959095365, 1.1028547924521905, 1.1028547924521905, 1.1028547924521905, 1.1028547924521905, 1.1028547924521905, 1.1028547924521905, 1.1028547924521905, 1.1028547924521905, 1.1028547924521905, 1.1028547924521905, 1.1028547924521905, 1.1028547924521905]","[0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128]","[0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406]",0.608208954334259
3,5,16,500,0.001,"[0.18636048897669827, 0.1863302187089739, 0.18630422294055196, 0.18628213565396376, 0.1862632703682608, 0.1862469357977167, 0.18623287741491007, 0.1862205427817323, 0.1862097724594853, 0.1862003680372472, 0.18619201122783124, 0.18618471026882405, 0.18617817763747138, 0.18617242853318858, 0.1861672734451922]","[1.1031005382537842, 1.1030713319778442, 1.1030464172363281, 1.103024959564209, 1.1030060052871704, 1.1029895544052124, 1.1029750108718872, 1.1029622554779053, 1.1029510498046875, 1.1029410362243652, 1.102932333946228, 1.1029244661331177, 1.1029175519943237, 1.102911353111267, 1.1029057502746582]","[0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128]","[0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406]",0.608208954334259
4,5,16,500,0.005,"[0.1863398484088404, 0.18622985322890448, 0.18617717286741192, 0.18615181170296202, 0.18614027977224576, 0.18613415284539112, 0.18613033464624862, 0.18612809501065744, 0.18612663778053087, 0.18612562991149176, 0.1861248475415235, 0.1861242530944426, 0.18612379224780745, 0.18612343233908699, 0.18612313277111198]","[1.1030189990997314, 1.1029402017593384, 1.1028993129730225, 1.102880597114563, 1.1028722524642944, 1.1028672456741333, 1.1028637886047363, 1.102861762046814, 1.1028603315353394, 1.1028591394424438, 1.1028584241867065, 1.1028577089309692, 1.1028573513031006, 1.1028568744659424, 1.1028566360473633]","[0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128]","[0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406]",0.608208954334259
5,5,16,500,0.1,"[0.18620405590146288, 0.1861329603909461, 0.18612462596213522, 0.18612272479794612, 0.1861220363927774, 0.1861217504459595, 0.18612159065679024, 0.18612153532583853, 0.1861214986694438, 0.18612146435674926, 0.18612145280565542, 0.18612145169547623, 0.18612147000625975, 0.18612145976363567, 0.18612146240559]","[1.1028774976730347, 1.102860689163208, 1.1028565168380737, 1.1028555631637573, 1.1028552055358887, 1.1028549671173096, 1.10285484790802, 1.10285484790802, 1.1028547286987305, 1.1028547286987305, 1.1028547286987305, 1.1028547286987305, 1.1028547286987305, 1.1028547286987305, 1.1028547286987305]","[0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128]","[0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406]",0.608208954334259
6,5,16,800,0.001,"[0.18643846626062532, 0.18641061982340065, 0.18638483059307762, 0.18636207473425825, 0.18634200927393496, 0.1863238881896529, 0.18630791797248786, 0.18629327111623503, 0.1862801039237375, 0.1862680983444876, 0.18625712656408303, 0.18624716904784036, 0.18623797109370765, 0.1862296438044753, 0.18622196484203182]","[1.1032048463821411, 1.103173017501831, 1.103144645690918, 1.1031196117401123, 1.1030974388122559, 1.10307776927948, 1.103060007095337, 1.103044033050537, 1.103029727935791, 1.1030166149139404, 1.1030046939849854, 1.1029937267303467, 1.1029837131500244, 1.1029746532440186, 1.1029661893844604]","[0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128]","[0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406]",0.608208954334259
7,5,16,800,0.005,"[0.18634072198601795, 0.18626790450624198, 0.1862211659673817, 0.18618980795145035, 0.18616943110611814, 0.1861563477018648, 0.18614716132071393, 0.18614050097596552, 0.18613582880290086, 0.18613255168657658, 0.18613030034894787, 0.18612864976321436, 0.18612738544783317, 0.1861263852227818, 0.18612561134760044]","[1.1030465364456177, 1.1029856204986572, 1.1029459238052368, 1.102919340133667, 1.102901816368103, 1.1028894186019897, 1.1028803586959839, 1.1028741598129272, 1.1028697490692139, 1.1028666496276855, 1.102864384651184, 1.1028627157211304, 1.1028612852096558, 1.1028602123260498, 1.1028592586517334]","[0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128]","[0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406]",0.608208954334259
8,5,16,800,0.1,"[0.18627011234110052, 0.18615435390186705, 0.18613380267600382, 0.18612728963706118, 0.18612429696666308, 0.1861229166270127, 0.18612239703782335, 0.1861220380399099, 0.18612180413170296, 0.18612169006392976, 0.18612159690088478, 0.1861215378504154, 0.18612151688411216, 0.18612150127483792, 0.18612148569635123]","[1.1029101610183716, 1.1028739213943481, 1.1028631925582886, 1.1028586626052856, 1.1028567552566528, 1.1028560400009155, 1.1028555631637573, 1.1028552055358887, 1.1028550863265991, 1.1028549671173096, 1.10285484790802, 1.10285484790802, 1.10285484790802, 1.1028547286987305, 1.1028547286987305]","[0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128]","[0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406]",0.608208954334259
9,5,32,100,0.001,"[0.18638062404526623, 0.1862373377548202, 0.1861814539071576, 0.1861550213398042, 0.18614170724519816, 0.18613452822168713, 0.1861304565968172, 0.18612798975129252, 0.1861263854049673, 0.1861252963054706, 0.1861245077614276, 0.18612393697564156, 0.18612347955269337, 0.18612310085832087, 0.186122822178579]","[1.1030422989840851, 1.1029487325531147, 1.1029062312606317, 1.102885162194201, 1.1028738901399404, 1.1028675665158407, 1.1028639004844525, 1.1028615577868133, 1.1028599889814992, 1.1028588694928694, 1.1028580748564683, 1.1028574391196886, 1.1028569830266064, 1.1028565891657518, 1.102856260856177]","[0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128]","[0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406]",0.608208954334259
