,lookback,n_units,batch_size,ln_rate,train_loss,val_loss,train_acc,val_acc,test_acc
0,5,16,100,0.001,"[0.21868989896335345, 0.2185990496430436, 0.21855918985307465, 0.21854079650682987, 0.2185320410677934, 0.21852746599025938, 0.2185248280604541, 0.2185232138152306, 0.21852215734715394, 0.21852141450036666, 0.21852089144265852, 0.2185204795814586, 0.21852017621531253, 0.2185199258593993, 0.21851971110157634]","[0.4982988027459017, 0.4982453553470033, 0.49822005747888065, 0.4982081414990477, 0.4982022705491269, 0.49819895861811586, 0.49819696347636006, 0.4981957606245034, 0.4981948741936942, 0.49819423425068493, 0.49819381389807277, 0.4981934867180642, 0.49819321064312105, 0.4981929893312902, 0.49819281180843117]","[0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613]","[0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143]",0.7385952472686768
1,5,16,100,0.005,"[0.21859797037007636, 0.21852566340681964, 0.21852072136464315, 0.2185195059941739, 0.21851904349363369, 0.21851883814464254, 0.21851875299179366, 0.21851869099087853, 0.2185186736651027, 0.21851864934939005, 0.21851864511592795, 0.21851864603515908, 0.21851865914491173, 0.2185186490896844, 0.21851864932644294]","[0.4982061543189231, 0.49819519351966113, 0.49819312650804487, 0.4981924300804896, 0.4981921163491824, 0.49819204103645437, 0.4981919290356688, 0.49819189137930475, 0.49819188868956443, 0.49819188599982417, 0.49819188599982417, 0.49819188599982417, 0.49819188599982417, 0.49819188599982417, 0.49819188599982417]","[0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613]","[0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143]",0.7385952472686768
2,5,16,100,0.1,"[0.2185394787581355, 0.21851871812968662, 0.21851866043908072, 0.21851865677727197, 0.2185186506665731, 0.21851865935319972, 0.21851865005807514, 0.2185186648702064, 0.21851865525715186, 0.21851867040196257, 0.21851866828459035, 0.21851865849813928, 0.21851864819709568, 0.21851864782614128, 0.21851864525333545]","[0.498192121728663, 0.49819189137930475, 0.49819188868956443, 0.49819188599982417, 0.49819188599982417, 0.49819188599982417, 0.49819188599982417, 0.49819188599982417, 0.49819188599982417, 0.49819188599982417, 0.49819188599982417, 0.49819188599982417, 0.49819188599982417, 0.49819188599982417, 0.49819188599982417]","[0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613]","[0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143]",0.7385952472686768
3,5,16,500,0.001,"[0.21882176953463228, 0.21876869615674355, 0.21872568558230676, 0.21869152752044735, 0.2186644196432549, 0.21864270115744536, 0.21862502561509012, 0.21861058417505788, 0.21859831187091933, 0.21858796390578814, 0.21857914350409433, 0.21857160564014014, 0.21856512151935722, 0.21855961035941557, 0.21855487908670004]","[0.4984462956228842, 0.49840324751306525, 0.4983693582916948, 0.4983423550206401, 0.4983206262227, 0.498303003044335, 0.4982883667687647, 0.49827600214025175, 0.4982653944500947, 0.49825630162166773, 0.49824843509963274, 0.4982416603969753, 0.49823586626603716, 0.49823084484368885, 0.4982264885403189]","[0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613]","[0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143]",0.7385952472686768
4,5,16,500,0.005,"[0.21871019768796102, 0.21861392998225188, 0.21856584723863867, 0.21854311931281623, 0.2185326821500879, 0.21852725796141284, 0.2185242473660392, 0.2185224466808827, 0.21852132131875351, 0.21852057948499165, 0.2185200870012705, 0.2185197409893392, 0.21851948643756028, 0.2185193196638958, 0.2185191810669996]","[0.49831737421910255, 0.49825487842628674, 0.4982237656624309, 0.4982095010013787, 0.4982024377433832, 0.498198615730024, 0.49819638561255664, 0.49819503213524385, 0.4981941285976864, 0.4981935441709167, 0.4981930942311614, 0.4981928289151794, 0.4981926173940032, 0.49819245600958595, 0.49819232518061835]","[0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613]","[0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143]",0.7385952472686768
5,5,16,500,0.1,"[0.21860329335423082, 0.21852688649867444, 0.21852061455147376, 0.21851924840332465, 0.21851893968151648, 0.2185187941179742, 0.21851872299382458, 0.21851868463873816, 0.2185186617396434, 0.21851865128908995, 0.2185186689105655, 0.21851865741465762, 0.2185186508299715, 0.2185186597356735, 0.21851866119528143]","[0.4982071327388502, 0.498195535869805, 0.4981927518810176, 0.49819230194126224, 0.49819208676203924, 0.4981919828304745, 0.4981919290356688, 0.4981919021382659, 0.4981919021382659, 0.498191875240863, 0.498191875240863, 0.498191875240863, 0.498191875240863, 0.498191875240863, 0.498191875240863]","[0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613]","[0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143]",0.7385952472686768
6,5,16,800,0.001,"[0.21881819355205473, 0.21878125436008813, 0.21874936873153816, 0.2187222957563228, 0.21869930111706282, 0.21867961473000283, 0.21866217405142338, 0.21864696910035797, 0.21863349445466296, 0.2186214953050801, 0.2186109095225608, 0.21860135592212163, 0.2185929664666755, 0.2185854694657611, 0.21857885321858703]","[0.49844008684158325, 0.4984109401702881, 0.49838632345199585, 0.4983653128147125, 0.49834704399108887, 0.49833086133003235, 0.4983164668083191, 0.4983035922050476, 0.49829214811325073, 0.4982820153236389, 0.49827298521995544, 0.49826496839523315, 0.4982578158378601, 0.49825143814086914, 0.49824580550193787]","[0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613]","[0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143]",0.7385952472686768
7,5,16,800,0.005,"[0.218777504229536, 0.21866066398393305, 0.2185973844486085, 0.2185629183678491, 0.2185459406152876, 0.21853731507424226, 0.21853221009553842, 0.2185286910645888, 0.21852612638910615, 0.21852438304377386, 0.21852322294345566, 0.21852237189548268, 0.2185217709856692, 0.21852130715936027, 0.21852093432524844]","[0.49834784865379333, 0.4982834756374359, 0.4982452392578125, 0.49822455644607544, 0.498213529586792, 0.4982072114944458, 0.4982031583786011, 0.49820026755332947, 0.4981983006000519, 0.49819695949554443, 0.498196005821228, 0.4981953203678131, 0.49819478392601013, 0.4981943368911743, 0.49819400906562805]","[0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613]","[0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143]",0.7385952472686768
8,5,16,800,0.1,"[0.21862078460762654, 0.21853517595901398, 0.21852378498737424, 0.2185205802028316, 0.21851976220973887, 0.21851913151804198, 0.2185189038909903, 0.21851880370445972, 0.21851874647446018, 0.21851870482200506, 0.21851868672645605, 0.21851866764985908, 0.21851867679035458, 0.21851868143537734, 0.21851867402667072]","[0.4982157051563263, 0.4981997311115265, 0.4981941878795624, 0.49819332361221313, 0.49819257855415344, 0.49819216132164, 0.49819207191467285, 0.4981919825077057, 0.4981919527053833, 0.4981919229030609, 0.4981918931007385, 0.4981918931007385, 0.4981918931007385, 0.4981918931007385, 0.49819186329841614]","[0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613]","[0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143]",0.7385952472686768
9,5,32,100,0.001,"[0.21875445103529695, 0.21860437776858513, 0.21855637175512077, 0.21853803626763854, 0.21852976693395523, 0.21852568741295475, 0.21852343673615024, 0.21852209848465645, 0.21852122131718407, 0.21852062645271642, 0.2185201822213583, 0.21851986400471704, 0.21851961711778306, 0.21851940999162184, 0.21851926246232192]","[0.498319220456836, 0.4982451971902744, 0.4982179825056331, 0.4982060670637482, 0.4982005042504748, 0.4981975239106464, 0.49819584863280564, 0.4981947846791374, 0.49819406673365985, 0.4981935495503973, 0.49819321161142754, 0.49819290594934124, 0.49819271056660674, 0.4981925232530931, 0.49819241394204783]","[0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613, 0.7392613]","[0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143, 0.71480143]",0.7385952472686768
