,lookback,n_units,batch_size,ln_rate,train_loss,val_loss,train_acc,val_acc,test_acc
0,5,16,100,0.001,"[-0.051525807421602024, -0.051612317227288665, -0.05166368059517205, -0.05169576649543197, -0.05171537977915256, -0.051727431927210264, -0.051735145179143356, -0.05174026424385517, -0.05174374775729814, -0.05174619009705053, -0.05174793399257927, -0.05174919433243793, -0.051750110594955455, -0.0517508087084409, -0.05175129585815525]","[-0.12654857311080936, -0.12661292171699043, -0.12665263981720018, -0.12667616510252402, -0.12669025607886225, -0.12669920520378328, -0.12670523300766945, -0.12670922085222133, -0.12671209391418448, -0.12671409612607118, -0.1267155814828975, -0.12671664471080157, -0.1267174511999468, -0.12671806763020027, -0.12671852143668766]","[0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265]","[0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366]",0.8170731663703918
1,5,16,100,0.005,"[-0.05166734640557302, -0.05174333489317441, -0.051749587282519764, -0.051751425834533966, -0.051752310060012296, -0.051752805031235125, -0.051753124681853, -0.05175334088083339, -0.05175345674976563, -0.05175356100904986, -0.05175362736550775, -0.05175367649869285, -0.05175371412747728, -0.05175373800050787, -0.051753746212146186]","[-0.12669958956961355, -0.12671492429358133, -0.12671770096386598, -0.12671895785609674, -0.1267196684411315, -0.12672009219616887, -0.1267203745897545, -0.12672055251415978, -0.1267206769223124, -0.12672075993501442, -0.12672082757405756, -0.12672086615189687, -0.12672091505759236, -0.12672092984894776, -0.12672093978436505]","[0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265]","[0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366]",0.8170731663703918
2,5,16,100,0.1,"[-0.05172389639118441, -0.05175347846438851, -0.0517537512177641, -0.05175379082920235, -0.05175379444463519, -0.05175380107866117, -0.051753799581536385, -0.05175379419298072, -0.051753802054021414, -0.05175380273450309, -0.05175380140816991, -0.05175379927496503, -0.05175378745687233, -0.051753796325005645, -0.051753785620756776]","[-0.1267199483137262, -0.12672089583089405, -0.12672097844627847, -0.12672098605785106, -0.12672098741216267, -0.12672099240247017, -0.12672099290429464, -0.1267209933248799, -0.1267209935705721, -0.126720993749622, -0.12672099390807695, -0.12672099400225667, -0.12672099408209825, -0.1267209941171052, -0.12672099416785176]","[0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265]","[0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366]",0.8170731663703918
3,5,16,500,0.001,"[-0.05148851388654448, -0.05152103558397615, -0.05154901678465597, -0.051573061746902064, -0.05159330030744761, -0.05161073675537616, -0.051625832402671455, -0.051639137786749355, -0.05165087330392549, -0.05166125689964969, -0.05167033895278643, -0.0516784318116096, -0.05168555310238663, -0.05169188128581403, -0.05169746753865131]","[-0.1264774352312088, -0.1265059858560562, -0.1265302300453186, -0.12655094265937805, -0.12656892836093903, -0.12658458948135376, -0.12659849226474762, -0.12661080062389374, -0.12662166357040405, -0.12663128972053528, -0.12663984298706055, -0.12664742767810822, -0.12665414810180664, -0.12666010856628418, -0.12666547298431396]","[0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265]","[0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366]",0.8170731663703918
4,5,16,500,0.005,"[-0.05151983863814417, -0.05161538948746465, -0.05166914573510244, -0.051702403345972016, -0.051723597308917436, -0.051735732216306826, -0.05174201832991065, -0.051745251854444126, -0.051747190380034565, -0.05174857813747209, -0.0517496138024674, -0.0517503528205044, -0.05175090039131209, -0.051751322584782836, -0.05175165584680675]","[-0.12654295563697815, -0.12661264836788177, -0.1266546994447708, -0.12668168544769287, -0.12669788300991058, -0.12670646607875824, -0.12671081721782684, -0.1267131268978119, -0.1267147660255432, -0.1267159879207611, -0.12671688199043274, -0.12671755254268646, -0.12671804428100586, -0.1267184168100357, -0.12671872973442078]","[0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265]","[0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366]",0.8170731663703918
5,5,16,500,0.1,"[-0.05164508372434886, -0.05173619982646128, -0.051748254001780715, -0.05175130823229895, -0.05175276588043869, -0.05175326504080612, -0.05175350543572223, -0.05175362927254693, -0.05175369866615279, -0.05175371974885274, -0.05175375232628376, -0.051753759665352395, -0.05175377095159278, -0.05175377090637872, -0.05175376514983931]","[-0.12669111788272858, -0.12671278417110443, -0.1267174482345581, -0.12671954929828644, -0.12672030925750732, -0.1267206221818924, -0.12672077119350433, -0.1267208606004715, -0.12672089040279388, -0.12672092020511627, -0.12672093510627747, -0.12672093510627747, -0.12672095000743866, -0.12672095000743866, -0.12672095000743866]","[0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265]","[0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366]",0.8170731663703918
6,5,16,800,0.001,"[-0.05141188354717511, -0.05144265236463895, -0.05147101007454525, -0.05149668397026976, -0.051519502248088066, -0.05153981016691055, -0.05155785451361418, -0.051574029268462, -0.05158844894702978, -0.05160154236591454, -0.05161345308636844, -0.05162425182391691, -0.051634164630507136, -0.05164318239809582, -0.051651429328936016]","[-0.12637393176555634, -0.1264057159423828, -0.1264345496892929, -0.1264602094888687, -0.1264829933643341, -0.12650318443775177, -0.12652118504047394, -0.1265372484922409, -0.1265517920255661, -0.12656491994857788, -0.12657694518566132, -0.1265878975391388, -0.12659789621829987, -0.12660713493824005, -0.12661553919315338]","[0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265]","[0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366]",0.8170731663703918
7,5,16,800,0.005,"[-0.05144687032143592, -0.05154536471991643, -0.05161179484127392, -0.051658709984170985, -0.051690578094908485, -0.05171097962722415, -0.05172410939752098, -0.05173252866325952, -0.05173788391837828, -0.05174148358900732, -0.051744067120667925, -0.05174600809181567, -0.05174739922654888, -0.0517484082806948, -0.05174919671028462]","[-0.12647423148155212, -0.12655186653137207, -0.1266075223684311, -0.1266462504863739, -0.1266709864139557, -0.1266866773366928, -0.12669652700424194, -0.12670278549194336, -0.12670692801475525, -0.12670987844467163, -0.12671209871768951, -0.12671378254890442, -0.1267150193452835, -0.12671591341495514, -0.12671659886837006]","[0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265]","[0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366]",0.8170731663703918
8,5,16,800,0.1,"[-0.05159853685483789, -0.051717339355033316, -0.05174216630818033, -0.051748117628036085, -0.05175078127346876, -0.051752252043850984, -0.05175287645574159, -0.05175318102466466, -0.051753396726744644, -0.05175352813495965, -0.05175362358652181, -0.0517536774483441, -0.05175370938491142, -0.051753735589849394, -0.051753746033007475]","[-0.1266716867685318, -0.126706063747406, -0.12671460211277008, -0.12671729922294617, -0.12671907246112823, -0.1267198771238327, -0.12672029435634613, -0.12672048807144165, -0.12672066688537598, -0.12672078609466553, -0.1267208456993103, -0.1267208755016327, -0.12672090530395508, -0.12672092020511627, -0.12672093510627747]","[0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265]","[0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366]",0.8170731663703918
9,5,32,100,0.001,"[-0.05149798788717254, -0.05162848680054284, -0.051687812645223485, -0.0517170717589399, -0.051732420471352694, -0.05174065306107168, -0.05174528099216226, -0.05174797164307586, -0.0517496024882601, -0.05175060572326412, -0.051751281291786896, -0.05175174610914907, -0.05175211776098998, -0.05175237247901363, -0.05175257554375543]","[-0.12654329766038314, -0.126629170627906, -0.12667091513719164, -0.1266923647195283, -0.1267036212377392, -0.12670990506481486, -0.12671349917114094, -0.12671565083281056, -0.12671696350990608, -0.12671784415431345, -0.12671843486356565, -0.12671888046079854, -0.12671920379462356, -0.12671948164489918, -0.12671968337144288]","[0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265]","[0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366]",0.8170731663703918
10,5,32,100,0.005,"[-0.05165624661570722, -0.05174621470327843, -0.05175092126113762, -0.051752250289809065, -0.051752898671662634, -0.05175326043372174, -0.051753450193180756, -0.05175358017004851, -0.05175365024771559, -0.05175368226188922, -0.05175372676403934, -0.05175376678412095, -0.051753767913329016, -0.05175378281896533, -0.05175379472362246]","[-0.12670608241262252, -0.1267169975803643, -0.12671892709805826, -0.12671981683984548, -0.12672028733972981, -0.12672055134364135, -0.12672071055220221, -0.12672079375816403, -0.12672085776481484, -0.12672091311431474, -0.12672092702220422, -0.12672093959980502, -0.1267209738464284, -0.1267209819683605, -0.12672098424738473]","[0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265, 0.7904265]","[0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366, 0.8209366]",0.8170731663703918
